trust_code,trust_name,latitude,longitude,region,admin_district,postcode,coordinate_source
RCF,AIREDALE NHS FOUNDATION TRUST,53.897957,-1.962729,Yorkshire and The Humber,Bradford,BD206TD,NHS ODS Trust postcode geocoded with postcodes.io
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,53.421263,-2.897796,North West,Liverpool,L122AP,NHS ODS Trust postcode geocoded with postcodes.io
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,51.377831,-0.527041,South East,Runnymede,KT160PZ,NHS ODS Trust postcode geocoded with postcodes.io
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",51.568649,0.179058,London,Havering,RM70AG,NHS ODS Trust postcode geocoded with postcodes.io
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,53.55915,-1.499495,Yorkshire and The Humber,Barnsley,S752EP,NHS ODS Trust postcode geocoded with postcodes.io
R1H,BARTS HEALTH NHS TRUST,51.517168,-0.056023,London,Tower Hamlets,E12ES,NHS ODS Trust postcode geocoded with postcodes.io
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,51.894292,-0.474153,East of England,Luton,LU40DZ,NHS ODS Trust postcode geocoded with postcodes.io
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,51.416178,-0.740213,South East,Bracknell Forest,RG122UT,NHS ODS Trust postcode geocoded with postcodes.io
RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,52.487339,-1.885821,West Midlands,Birmingham,B74BN,NHS ODS Trust postcode geocoded with postcodes.io
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,52.484784,-1.893809,West Midlands,Birmingham,B46NH,NHS ODS Trust postcode geocoded with postcodes.io
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,53.820675,-3.016275,North West,Blackpool,FY38NR,NHS ODS Trust postcode geocoded with postcodes.io
RMC,BOLTON NHS FOUNDATION TRUST,53.553973,-2.429892,North West,Bolton,BL40JR,NHS ODS Trust postcode geocoded with postcodes.io
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,53.805995,-1.7947,Yorkshire and The Humber,Bradford,BD96RJ,NHS ODS Trust postcode geocoded with postcodes.io
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,51.663005,-0.621408,South East,Buckinghamshire,HP70JD,NHS ODS Trust postcode geocoded with postcodes.io
