horizon,pinball_q10,pinball_q50,pinball_q90,pinball_mean,crps_quantile_approx,rmse_median,mae_median
1,21.411101249276406,43.70378821001433,53.7873643427153,39.634084600668686,79.26816920133737,186.90849774437746,87.40757642002866
2,22.63637715031279,47.20389066139857,56.19971537590025,42.01332772920388,84.02665545840775,196.6232172864902,94.40778132279713
3,21.51418135825895,53.26895756565268,55.52113931674902,43.43475941355355,86.8695188271071,227.39406497054122,106.53791513130535
4,23.908444440313897,55.061164704822744,59.215600250385414,46.061736465174015,92.12347293034803,228.27364017480573,110.12232940964549
5,24.808548997788346,56.70126411649916,58.61222382549546,46.70734564659432,93.41469129318862,217.2379320751214,113.40252823299832
6,25.908842205941852,60.17327591496655,66.56292352893753,50.88168054994864,101.76336109989728,227.03502268033415,120.3465518299331
7,26.499370859168536,63.534681620591044,69.52921457613294,53.1877556852975,106.37551137059502,235.26682837423024,127.06936324118209
8,27.77957630025865,66.65820013491856,64.58421028876235,53.00732890797986,106.01465781595971,247.4172912278105,133.31640026983712
9,28.268289960381654,69.38446467979001,73.277183249839,56.976645963336885,113.95329192667377,261.2754547364763,138.76892935958003
10,29.415089500315514,72.62827665496755,71.77290041507817,57.938755523453736,115.8775110469075,273.52611778454775,145.2565533099351
11,30.608755952807574,77.8306497595249,76.47758437758495,61.63899669663915,123.27799339327828,294.24117591488795,155.6612995190498
12,31.064441533857945,77.34555641878025,77.93994918304291,62.11664904522702,124.23329809045404,283.4443483578992,154.6911128375605
