model,model_name,horizon,n_rows,mae,rmse,smape,wape,pinball_q10,pinball_q50,pinball_q90,pinball_mean,p10_p90_coverage,average_interval_width
naive_last_value,naive_last_value,1,1400,29.515,62.360787816887445,12.793387554553748,5.000611144122306,8.353714285714286,14.7575,9.521214285714287,10.87747619047619,0.7985714285714286,80.67071428571428
hist_gradient_boosting,hist_gradient_boosting,1,1400,38.038582038627425,92.44531216502654,14.140781705757865,6.444728349956662,11.049521267983046,19.019291019313712,10.929377603857834,13.666063297051531,0.8264285714285714,155.84538741759354
TCN,TCN,1,1400,87.60861392463957,187.1709591484102,22.495881165337668,14.843185197786253,21.462783995100434,43.804306962319785,53.93112841779844,39.732739791739554,0.9335714285714286,742.3988152805397
seasonal_naive_12m,seasonal_naive_12m,1,1400,118.825,208.54029244112172,32.98579352554718,20.132055537873388,35.11528571428572,59.4125,38.40407142857143,44.31061904761904,0.8121428571428572,353.54357142857145
historical_seasonal_mean,historical_seasonal_mean,1,1400,192.37255725623584,345.8991895905746,43.953049994318626,32.59293083648448,38.945319302721096,96.18627862811792,74.70232908163264,69.94464233749055,0.8121428571428572,628.1630654761908
naive_last_value,naive_last_value,2,1395,44.48243727598566,84.50738976403888,16.06510174238984,7.503149840512874,12.99562724014337,22.24121863799283,14.122150537634408,16.45299880525687,0.7899641577060932,118.55412186379928
hist_gradient_boosting,hist_gradient_boosting,2,1395,52.8156126829422,112.4708687888194,16.928057449449184,8.908762202482675,13.85291845525925,26.4078063414711,14.489674724125896,18.25013317361875,0.8064516129032258,185.7682423604613
TCN,TCN,2,1395,94.97521806327245,197.2555476914175,23.968662834001673,16.02010447050819,22.76591606088864,47.487609031636225,56.53657424461883,42.26336644571457,0.9268817204301075,778.8753369105759
seasonal_naive_12m,seasonal_naive_12m,2,1395,118.34623655913978,201.9884431911779,32.974461488690075,19.96225027991865,33.534838709677416,59.17311827956989,37.7452688172043,43.48440860215054,0.814336917562724,346.70286738351274
historical_seasonal_mean,historical_seasonal_mean,2,1395,194.08229276895946,346.8096067612999,43.589648731262095,32.73715680192623,39.16707302156227,97.04114638447973,74.14981194174204,70.11934378259468,0.8050179211469534,618.1247436991523
naive_last_value,naive_last_value,3,1393,55.9770279971285,103.13092202752958,19.13599926139213,9.477357337063863,16.802498205312276,27.98851399856425,17.330150753768844,20.70705431921512,0.7767408470926059,143.21450107681264
hist_gradient_boosting,hist_gradient_boosting,3,1393,65.69394289867773,136.00874303423782,19.84187200179011,11.122508536240547,16.938812767346633,32.84697144933887,17.288282591002922,22.35802226922947,0.7903804737975593,221.13541907352024
TCN,TCN,3,1393,107.32364848082817,228.28878187043512,26.540019534790865,18.170749747957625,21.67783544400743,53.661824240414084,55.94229923934278,43.7606529745881,0.8951902368987796,749.6064404736127
seasonal_naive_12m,seasonal_naive_12m,3,1393,120.24192390524048,204.19699151169297,32.63507836305253,20.357916819100566,33.02699210337401,60.12096195262024,38.104163675520454,43.750705910504905,0.8004307250538406,338.9210337401292
historical_seasonal_mean,historical_seasonal_mean,3,1393,194.1036927836461,346.19045428258084,43.750882116676365,32.86330344384566,39.27864546656184,97.05184639182305,73.9095077143085,70.07999985756446,0.8040201005025126,595.077659841156
naive_last_value,naive_last_value,4,1396,66.36962750716333,118.90168339929527,21.3618315061051,11.148412062405695,18.491790830945558,33.184813753581665,21.147965616045834,24.274856733524352,0.7936962750716332,178.4591690544414
hist_gradient_boosting,hist_gradient_boosting,4,1396,76.52573759912387,150.70814531849354,21.5142785683511,12.854380658419178,18.618643248317053,38.262868799561936,19.866220991477395,25.582577679785462,0.7893982808022922,241.4103900659342
TCN,TCN,4,1396,110.66413098044245,228.92245105922277,26.5178390002881,18.588763852333674,24.024021904516356,55.332065490221225,59.5162650733076,46.29078415601506,0.9068767908309455,811.7594117332666
seasonal_naive_12m,seasonal_naive_12m,4,1396,118.69914040114614,203.2829199877335,32.365239170161004,19.938441397799004,31.025601719197706,59.34957020057307,39.5620916905444,43.31242120343839,0.8030085959885387,332.8110315186246
historical_seasonal_mean,historical_seasonal_mean,4,1396,196.16102611770594,354.43757172442275,43.506548622918984,32.95007116784676,38.996739533588034,98.08051305885297,75.4667826158639,70.84801173610164,0.8087392550143266,590.0467425069361
naive_last_value,naive_last_value,5,1397,80.4387974230494,145.00369753141112,24.11524306646881,13.413139201917442,22.9251968503937,40.2193987115247,25.56844667143879,29.571014077785726,0.7637795275590551,202.38668575518983
hist_gradient_boosting,hist_gradient_boosting,5,1397,89.39969390714988,169.67603814121932,24.490276253274516,14.907365318738668,21.42986956761447,44.69984695357494,22.32514064762304,29.48495238960415,0.780959198282033,267.0654941078148
TCN,TCN,5,1397,113.94663116909729,217.7811811309396,28.767767356991673,19.000557870382774,24.928188179771475,56.973315584548644,58.89587109510438,46.932458286474834,0.8926270579813886,797.0901453531718
seasonal_naive_12m,seasonal_naive_12m,5,1397,123.56191839656407,212.3725707443907,33.47122828419251,20.603903397419142,32.96277738010021,61.780959198282034,40.18940586972083,44.977714149367685,0.8010021474588404,330.27630637079454
historical_seasonal_mean,historical_seasonal_mean,5,1397,198.9210521980207,358.4606424921075,43.72213496403935,33.170010601866466,39.506898881957945,99.46052609901035,75.6210673097681,71.52949743024546,0.8067287043664997,587.6490816488847
naive_last_value,naive_last_value,6,1400,90.46642857142857,162.54921672263714,27.400642665865597,15.198019564361758,25.52357142857143,45.23321428571428,28.30807142857142,33.02161904761905,0.7671428571428571,226.4278571428573
hist_gradient_boosting,hist_gradient_boosting,6,1400,97.66796016385355,180.801072352376,27.497019270153224,16.407849771692508,23.594780250865472,48.833980081926775,24.56583894079411,32.33153309119545,0.7707142857142857,297.82868295406826
TCN,TCN,6,1400,120.65141014916556,227.3563679060661,31.454530324160903,20.268982879843307,25.97442600557634,60.32570507458278,66.74373384489331,51.014621641684144,0.8692857142857143,876.5294067993334
seasonal_naive_12m,seasonal_naive_12m,6,1400,127.74071428571429,217.69111636182387,34.400702777350546,21.459959296911748,34.353528571428576,63.870357142857145,40.369499999999995,46.19779523809524,0.7785714285714286,322.6945714285715
historical_seasonal_mean,historical_seasonal_mean,6,1400,197.4498010204082,358.53391020328917,44.42397356527547,33.17082354498117,39.8006689058957,98.7249005102041,76.43839036281177,71.6546532596372,0.795,588.8194390589571
naive_last_value,naive_last_value,7,1399,97.90350250178699,175.61368146571436,29.31876079251023,16.389944918910057,27.580771979985705,48.951751250893494,30.257140814867757,35.59655468191565,0.7762687634024303,252.11036454610453
hist_gradient_boosting,hist_gradient_boosting,7,1399,103.46013107454685,191.24270555835787,29.053794675362298,17.32017554309752,24.932166127538242,51.730065537273425,26.394889791484072,34.35237381876525,0.7869907076483202,325.70903270081646
seasonal_naive_12m,seasonal_naive_12m,7,1399,125.57898498927806,214.17290917624916,34.84381960776294,21.0230747047005,33.966190135811296,62.78949249463903,38.213523945675476,44.989735525375266,0.7841315225160829,334.1373838456039
TCN,TCN,7,1399,127.49216698543611,235.68561624309996,33.611783090457976,21.34335893085787,26.58699676262813,63.74608349271806,69.75715362526331,53.3634112935365,0.8527519656897784,897.0160839975179
historical_seasonal_mean,historical_seasonal_mean,7,1399,195.45633076914348,352.7320962855349,43.36840639367833,32.72118375233873,40.75880197873765,97.72816538457174,75.20738069709657,71.23144935346865,0.7841315225160829,562.3543395509265
naive_last_value,naive_last_value,8,1397,104.8067287043665,189.31897501855403,29.763981017670638,17.294022598042574,29.59112383679313,52.40336435218325,33.00174659985683,38.3320782629444,0.7902648532569793,271.4619899785257
hist_gradient_boosting,hist_gradient_boosting,8,1397,110.3574554845657,204.15950118400988,29.38372621586365,18.209940836871507,26.58233061664091,55.17872774228285,28.20797835297261,36.656345570632126,0.7916964924838941,348.8888900172086
seasonal_naive_12m,seasonal_naive_12m,8,1397,126.90336435218325,214.0147239698168,34.5542884422341,20.940159835203904,35.00173228346456,63.45168217609162,37.12040085898354,45.19127177284658,0.7838224767358626,328.84194702934855
TCN,TCN,8,1397,133.95097879691045,248.03555664217814,33.22662092294412,22.103077569361993,27.911229957737238,66.97548939845522,64.89502666196228,53.260582006051585,0.8589835361488904,860.3814004724505
historical_seasonal_mean,historical_seasonal_mean,8,1397,198.05284964379453,357.16462340676185,43.060010113345776,32.6804442776565,41.82414669757189,99.02642482189727,75.38900776607468,72.07985976184794,0.7952755905511811,573.3554939155332
naive_last_value,naive_last_value,9,1398,109.03648068669528,199.68941012237343,30.52867601476811,18.022665334570842,30.834206008583692,54.51824034334764,34.52158798283261,39.95801144492131,0.7968526466380543,291.0286123032906
hist_gradient_boosting,hist_gradient_boosting,9,1398,114.37425074890305,213.22542321710603,30.154103814777915,18.9049465936339,27.973548907534457,57.187125374451526,29.412540482321177,38.19107158810239,0.7804005722460658,361.521372608048
seasonal_naive_12m,seasonal_naive_12m,9,1398,124.62875536480686,213.80524576993207,34.734985759884204,20.599916054316406,34.695851216022895,62.31437768240343,37.54685264663805,44.85236051502146,0.7739628040057225,317.6444921316166
TCN,TCN,9,1398,139.34066159633096,261.8351970280091,34.29135839904002,23.03165046810604,28.382128268829913,69.67033079816548,73.5820326970541,57.211497254683174,0.8512160228898427,942.1827734468321
historical_seasonal_mean,historical_seasonal_mean,9,1398,196.75180757090627,355.89754607548576,42.46223360402933,32.52115218218896,41.53103566319232,98.37590378545313,74.17146354202148,71.35946766355563,0.8061516452074392,570.5538285986785
naive_last_value,naive_last_value,10,1400,114.44285714285714,206.5289395148846,32.21809215086696,19.066183050589288,32.80428571428571,57.22142857142857,35.42999999999999,41.818571428571424,0.7914285714285715,295.9842857142863
hist_gradient_boosting,hist_gradient_boosting,10,1400,118.9040904476972,218.42304899380528,31.323057979570216,19.809424638094296,29.29606294574927,59.4520452238486,30.45279096726115,39.73363304561967,0.7821428571428571,376.7510980345465
seasonal_naive_12m,seasonal_naive_12m,10,1400,124.89285714285714,217.68179922603937,35.47137595118336,20.807153329144533,35.19885714285714,62.44642857142857,38.16142857142857,45.26890476190476,0.775,313.67785714285725
TCN,TCN,10,1400,145.6356914816584,273.91546778439033,35.51309143386314,24.2629100829099,29.493802500137264,72.8178457408292,71.96889662551878,58.09351495549508,0.8535714285714285,932.4517264263119
historical_seasonal_mean,historical_seasonal_mean,10,1400,193.2798137755102,351.8328123655398,42.72774478269468,32.20042212706754,41.53943404195011,96.6399068877551,72.70677956349206,70.29537349773241,0.8164285714285714,568.9573061224493
naive_last_value,naive_last_value,11,1397,121.06800286327845,217.2164143231258,33.34576983872223,19.98492256864603,33.41821045096636,60.534001431639226,39.31153901216892,44.421250298258165,0.7866857551896922,317.131424481031
hist_gradient_boosting,hist_gradient_boosting,11,1397,124.3079242075175,227.2085943798707,32.68008048998661,20.519742468716927,29.934300543662612,62.15396210375875,32.38163276926306,41.48996513889481,0.7773801002147459,395.9579941110988
seasonal_naive_12m,seasonal_naive_12m,11,1397,124.95705082319256,221.66084387305295,34.05546266560363,20.62689501806692,34.46048675733715,62.47852541159628,40.248188976377946,45.72906704843713,0.7831066571224051,328.2607015032214
TCN,TCN,11,1397,156.41114718178468,294.97707856082127,37.2001070244691,25.819081767055245,30.755737457799334,78.20557359089234,76.84682413366068,61.93604506078412,0.8518253400143164,992.4525388397313
historical_seasonal_mean,historical_seasonal_mean,11,1397,200.86791622638077,368.2451094002168,43.79658999994721,33.15764411215127,41.009885781322794,100.43395811319039,76.30345465339559,72.58243284930293,0.8110236220472441,567.3673978252718
naive_last_value,naive_last_value,12,1401,124.69093504639544,226.67322176355128,33.32158698511506,20.506331194175793,34.211491791577444,62.34546752319772,41.467137758743746,46.00803235783963,0.795146324054247,334.162455389008
seasonal_naive_12m,seasonal_naive_12m,12,1401,124.69093504639544,226.67322176355128,33.32158698511506,20.506331194175793,34.211491791577444,62.34546752319772,41.467137758743746,46.00803235783963,0.795146324054247,334.162455389008
hist_gradient_boosting,hist_gradient_boosting,12,1401,128.1378845770115,235.68824164747087,32.66383040661895,21.073207115493744,30.470820863767898,64.06894228850575,33.90673590832997,42.815499686867874,0.7780157030692363,404.9550449660596
TCN,TCN,12,1401,155.00943351489659,283.7475056227409,36.54424737429991,25.492428785583414,31.12853088383161,77.50471675744829,78.09899586303841,62.2440811681061,0.8600999286224126,1001.0169126877693
historical_seasonal_mean,historical_seasonal_mean,12,1401,200.87877508129114,372.69860199604744,43.66377559553835,33.03597563178579,40.80014048921972,100.43938754064557,77.67773424311432,72.97242075765986,0.8151320485367595,580.0010516864371
