model,model_name,specialty_code,specialty_name,n_rows,mae,rmse,smape,wape,pinball_q10,pinball_q50,pinball_q90,pinball_mean,p10_p90_coverage,average_interval_width
naive_last_value,naive_last_value,170,Cardiothoracic Surgery Service,252,29.408730158730158,42.19441962652227,22.92394999776957,18.58744450854004,9.524206349206347,14.704365079365079,13.266587301587313,12.498386243386246,0.9841269841269841,222.93174603174623
TCN,TCN,170,Cardiothoracic Surgery Service,252,33.15392368558853,45.714572828458785,26.622917539175802,20.954550346789173,8.831888223829724,16.576961842794265,14.47532783387199,13.294725966831994,0.8611111111111112,210.14779450401429
hist_gradient_boosting,hist_gradient_boosting,170,Cardiothoracic Surgery Service,252,37.9528242771723,49.9837192346207,31.028232306089215,23.987639431786057,7.887053929965548,18.97641213858615,10.925578706411583,12.596348258321093,0.7896825396825397,135.66016453008723
seasonal_naive_12m,seasonal_naive_12m,170,Cardiothoracic Surgery Service,252,51.416666666666664,79.54920110739891,37.6496076137771,32.49730380477038,12.43138888888889,25.708333333333332,21.82222222222222,19.987314814814816,0.9404761904761905,314.0996031746032
historical_seasonal_mean,historical_seasonal_mean,170,Cardiothoracic Surgery Service,252,79.90001102292769,113.50974607684219,48.77145957713684,50.49986902204052,22.401805398085163,39.95000551146384,52.311429673721335,38.22108019442345,0.8888888888888888,596.6759322247419
naive_last_value,naive_last_value,120,Ear Nose and Throat Service,1475,82.58169491525423,130.33412602530336,20.904678920938267,13.781960621030027,22.33602711864407,41.290847457627116,19.529681355932208,27.718851977401133,0.7857627118644068,238.83064406779678
hist_gradient_boosting,hist_gradient_boosting,120,Ear Nose and Throat Service,1475,95.39918248665433,143.16986394130893,22.902969809920553,15.9210558424451,23.511488002553637,47.69959124332716,22.240226769792102,31.15043533855764,0.7071186440677966,282.015226859082
seasonal_naive_12m,seasonal_naive_12m,120,Ear Nose and Throat Service,1475,130.15254237288136,188.77038154634468,28.052318271950604,21.721002645329037,35.34082711864407,65.07627118644068,33.83465762711864,44.750585310734465,0.7511864406779661,354.5433220338984
TCN,TCN,120,Ear Nose and Throat Service,1475,142.2550632189088,202.0953207705371,29.444241187398408,23.74077792223892,23.02729237409366,71.1275316094544,77.25123354772792,57.13535251042533,0.8447457627118644,940.0231044935776
historical_seasonal_mean,historical_seasonal_mean,120,Ear Nose and Throat Service,1475,200.80669168684426,292.13528390843504,41.87415917342843,33.51238939945999,36.161510799031475,100.40334584342213,53.18315988700564,63.24933884315308,0.8454237288135593,594.0312115684693
naive_last_value,naive_last_value,100,General Surgery Service,2825,76.5129203539823,150.12327559744423,29.288994584499804,16.256449211052782,22.248927433628317,38.25646017699115,26.47383362831858,28.99307374631268,0.8074336283185841,211.10725663716832
hist_gradient_boosting,hist_gradient_boosting,100,General Surgery Service,2825,80.15499629778422,159.0281660640054,29.671626490893118,17.030269140148345,19.881293566320604,40.07749814889211,20.826896388841156,26.92856270135129,0.7716814159292036,227.611279189502
TCN,TCN,100,General Surgery Service,2825,98.71650442224689,197.51405099314712,32.67356254944961,20.97397188616653,23.492986185651965,49.35825221112344,37.592383661287016,36.814540686020806,0.8686725663716814,564.0163221103111
seasonal_naive_12m,seasonal_naive_12m,100,General Surgery Service,2825,110.78477876106194,200.43243780359956,38.65851768258071,23.538078548758293,30.89128849557522,55.39238938053097,38.18677168141593,41.49014985250737,0.8067256637168142,308.1784778761063
historical_seasonal_mean,historical_seasonal_mean,100,General Surgery Service,2825,167.87795210001403,321.95486261635097,46.02416679452708,35.6684778118966,42.82556153673269,83.93897605000701,73.1295249051833,66.63135416397434,0.8145132743362832,573.6820291894929
hist_gradient_boosting,hist_gradient_boosting,502,Gynaecology Service,1962,61.93143919491197,107.07922442244217,22.812921913073904,12.826385848841733,15.020480689621884,30.965719597455983,13.388896842377823,19.791699043151898,0.8307849133537207,214.06980940009603
naive_last_value,naive_last_value,502,Gynaecology Service,1962,63.02701325178389,106.68866602266723,23.4440009096401,13.053286043025736,16.89542303771662,31.513506625891946,16.701783893985723,21.703571185864764,0.8409785932721713,224.8262996941898
TCN,TCN,502,Gynaecology Service,1962,88.85539389045475,143.13361815932623,28.32738951454292,18.40250414983767,20.093914116437524,44.427696945227375,48.46374574684586,37.661785602836915,0.9051987767584098,657.9048147194247
seasonal_naive_12m,seasonal_naive_12m,502,Gynaecology Service,1962,90.85474006116208,148.19931237210147,30.71381193419672,18.81658116410159,23.703975535168198,45.42737003058104,27.858532110091737,32.32995922528033,0.8659531090723751,333.1062181447503
historical_seasonal_mean,historical_seasonal_mean,502,Gynaecology Service,1962,181.97657921136516,298.5648370596634,47.15182282942227,37.68848020908,32.45670801983723,90.98828960568258,58.80196477112761,60.748987465549135,0.8593272171253823,583.8887144636992
hist_gradient_boosting,hist_gradient_boosting,150,Neurosurgical Service,366,37.953923738323276,61.2932976105623,25.004446897381634,11.928534334217511,8.800147302838981,18.976961869161638,10.405915517329134,12.727674896443249,0.8333333333333334,164.39204114865075
naive_last_value,naive_last_value,150,Neurosurgical Service,366,39.86612021857923,62.17855041047146,26.95351122826132,12.529518346457369,11.022185792349728,19.933060109289617,13.058688524590167,14.671311475409839,0.9480874316939891,220.19125683060125
seasonal_naive_12m,seasonal_naive_12m,150,Neurosurgical Service,366,54.62021857923497,78.97265557057615,35.77088307530339,17.16658222630589,15.635765027322405,27.310109289617486,18.748661202185794,20.564845173041892,0.9644808743169399,324.551912568306
TCN,TCN,150,Neurosurgical Service,366,56.47989698185947,101.50098236992869,30.916039224607644,17.75106033795657,15.54749454246844,28.239948490929734,22.234838392434867,22.007427141944348,0.8715846994535519,362.7248307062628
historical_seasonal_mean,historical_seasonal_mean,150,Neurosurgical Service,366,94.72834591031312,147.46310221938126,43.50834968925142,29.772160960365643,15.177758261774656,47.36417295515656,43.125032309827404,35.2223211755862,0.9808743169398907,579.9361913435685
naive_last_value,naive_last_value,130,Ophthalmology Service,2347,118.97187899446101,218.00882721366185,32.570630581900886,19.010915240758948,37.056046016190884,59.485939497230504,34.76005965061779,43.76734838801306,0.6987643800596506,229.81763953983824
