model,model_name,trust_size_group,n_rows,mae,rmse,smape,wape,pinball_q10,pinball_q50,pinball_q90,pinball_mean,p10_p90_coverage,average_interval_width
naive_last_value,naive_last_value,large,9864,119.36587591240875,205.62876124051962,16.89839931193459,12.953302323370885,34.5514294403893,59.68293795620438,34.87212692619625,43.035498107596645,0.6867396593673966,248.6110705596109
hist_gradient_boosting,hist_gradient_boosting,large,9864,130.7877459719118,229.28095224309521,17.8214999371876,14.192776627464024,33.06245951761192,65.3938729859559,32.98792116797404,43.81475122384729,0.7894363341443633,424.39979014403457
seasonal_naive_12m,seasonal_naive_12m,large,9864,174.09438361719384,266.61448869846066,24.175907717894955,18.8923104409607,49.46333637469587,87.04719180859692,50.121502433090015,62.21067687212761,0.6857258718572588,369.5049168694242
TCN,TCN,large,9864,177.85565393341332,307.4468498846802,21.946678866548286,19.3004745930142,38.77326663422783,88.92782696670666,98.91292294114947,75.53800551402799,0.9392741281427412,1326.2253785254336
historical_seasonal_mean,historical_seasonal_mean,large,9864,292.734664814493,454.9974329869247,37.78152136205364,31.766872943279612,58.18135426482705,146.3673324072465,93.71556469171203,99.42141712126185,0.7130981346309814,605.171949883495
naive_last_value,naive_last_value,medium,4191,52.40586972083035,100.59673184376986,35.59451276513765,27.40674558856377,13.255853018372703,26.202934860415176,19.804691004533524,19.754492961107132,0.8857074683846338,206.3945120496303
hist_gradient_boosting,hist_gradient_boosting,medium,4191,53.01917871749694,99.45226616440503,34.90261178716286,27.727488355134774,11.339796900070136,26.50958935874847,15.638156487913754,17.829180915577453,0.780959198282033,151.85843169796567
TCN,TCN,medium,4191,62.50668082809539,108.2818877545563,41.33267075822093,32.68917600579845,11.199121818403674,31.253340414047695,23.820158835943314,22.090873689464892,0.7943211643999045,276.3186027914378
seasonal_naive_12m,seasonal_naive_12m,medium,4191,66.46838463373896,114.9277915905699,44.393694158310254,34.761031866161375,15.779751849200668,33.23419231686948,25.35256740634693,24.788837190805694,0.9138630398472918,299.16451920782634
historical_seasonal_mean,historical_seasonal_mean,medium,4191,79.32116411584914,134.76592698964885,50.12465672791732,41.48266169977698,20.436958669938985,39.66058205792457,48.23765908996223,36.111733272608596,0.912431400620377,570.790972567823
hist_gradient_boosting,hist_gradient_boosting,small,2718,19.520442718175246,31.868159177486138,40.78188302303568,34.50160183899097,3.805569351497268,9.760221359087623,5.446721232926834,6.337503981170575,0.7961736571008095,68.48112067103297
naive_last_value,naive_last_value,small,2718,20.54047093451067,35.4097376678667,42.912374351071946,36.30446091819482,5.152869757174393,10.270235467255334,12.646762325239157,9.356622516556294,0.9896983075791023,174.30022075055203
TCN,TCN,small,2718,26.02909014819737,43.23771601140189,46.983988157551444,46.00537587644716,4.0723090739395795,13.014545074098685,8.91842720464716,8.668427117561809,0.7932303164091243,100.22376561028892
seasonal_naive_12m,seasonal_naive_12m,small,2718,26.332965415746873,44.69582834422035,52.507171570018386,46.542463259201455,5.752910228108903,13.166482707873437,19.240441501103753,12.719944812362032,0.9900662251655629,245.29591611479032
historical_seasonal_mean,historical_seasonal_mean,small,2718,28.132435877220644,45.35238628676533,54.05115485614895,49.722955335079796,5.810639090367568,14.066217938610322,49.245415016877494,23.04075734861846,0.9727740986019132,539.0479025193596
