horizon,pinball_q10,pinball_q50,pinball_q90,pinball_mean,crps_quantile_approx,rmse_median,mae_median
1,76.49865926333261,116.35646678450072,167.34511393075698,120.06674665953012,240.13349331906022,506.1543106456724,232.71293356900145
2,78.82492360964443,128.77815639957026,171.35545829434696,126.31951276785388,252.63902553570776,524.6760992225102,257.5563127991405
3,83.21026806246962,139.67975443525268,197.54055590872298,140.14352613548175,280.2870522709635,545.203741572351,279.35950887050535
4,88.12196007583138,152.51976474321927,221.5851248531936,154.07561655741475,308.1512331148295,580.0299836834101,305.03952948643854
5,93.66223168052768,168.55412673104573,223.32537154828773,161.84724331995372,323.69448663990744,646.2256309254606,337.10825346209145
6,88.7961145713529,187.61529401354798,230.33504176777177,168.91548345089086,337.8309669017817,713.1108443922814,375.23058802709596
7,93.44050831064656,213.201909083725,238.95893068676898,181.86711602704685,363.7342320540937,808.1974884565701,426.40381816745
8,91.9201692593685,237.62706834537838,262.9665360151018,197.5045912066162,395.00918241323245,899.0347887073412,475.25413669075675
9,89.80040618261289,248.06058030214606,273.21440253860646,203.69179634112177,407.38359268224355,922.7062495948455,496.12116060429213
10,89.90572434966884,259.7377150368025,277.5162818881756,209.05324042488235,418.10648084976464,962.4583726444087,519.475430073605
11,93.97571489409714,275.11352735599274,304.03019608164067,224.37314611057684,448.7462922211537,1023.5987025230935,550.2270547119855
12,94.78144380295025,269.29092809249613,280.54831147367724,214.8735611230412,429.74712224608237,1009.7724435296467,538.5818561849923
