trust_code,trust_name,specialty_code,specialty_name,forecast_month,baseline_predicted_backlog,patients_completed_per_session,max_feasible_additional_sessions,sessions_allocated,simulated_completed_pathways,remaining_backlog,unused_feasible_sessions,allocation_cost,percent_reduction
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,7996.58251953125,10.0,12,12,120.0,7876.5825,0.0,10.8,1.5006410514354858
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,6870.3076171875,10.0,12,12,120.0,6750.3076,0.0,10.8,1.7466466814352695
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,6237.79638671875,10.0,12,12,120.0,6117.7964,0.0,10.8,1.9237562844388265
AAV,COMMUNITY HEALTH AND EYECARE LIMITED,130,Ophthalmology Service,2027-05-01,5393.29248046875,10.0,12,12,120.0,5273.2925,0.0,10.8,2.2249859512453214
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,3075.75732421875,10.0,12,12,120.0,2955.7573,0.0,10.8,3.9014781515794748
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,130,Ophthalmology Service,2027-05-01,2828.74609375,10.0,12,12,120.0,2708.7461,0.0,10.8,4.242162287563919
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,2812.3388671875,10.0,12,12,120.0,2692.3389,0.0,10.8,4.266911125116543
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,2535.52685546875,10.0,12,12,120.0,2415.5269,0.0,10.8,4.732744192441821
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,2320.953369140625,10.0,12,12,120.0,2200.9534,0.0,10.8,5.1702891404678315
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,2111.31640625,10.0,12,12,120.0,1991.3164,0.0,10.8,5.6836578186372915
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1925.9422607421875,10.0,12,12,120.0,1805.9423,0.0,10.8,6.23071638470389
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1908.48486328125,10.0,12,12,120.0,1788.4849,0.0,10.8,6.287710335500618
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1857.6204833984375,10.0,12,12,120.0,1737.6205,0.0,10.8,6.459877088589437
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1811.562255859375,10.0,12,12,120.0,1691.5623,0.0,10.8,6.6241168147475005
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,130,Ophthalmology Service,2027-05-01,1806.220947265625,10.0,12,12,120.0,1686.2209,0.0,10.8,6.643705476988506
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1780.8277587890625,10.0,12,12,120.0,1660.8278,0.0,10.8,6.738439436815511
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1714.9324951171875,10.0,12,12,120.0,1594.9325,0.0,10.8,6.997359974323652
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1617.44287109375,10.0,12,12,120.0,1497.4429,0.0,10.8,7.419118297442765
RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1589.031494140625,10.0,12,12,120.0,1469.0315,0.0,10.8,7.55176976935237
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,130,Ophthalmology Service,2027-05-01,1588.6402587890625,10.0,12,12,120.0,1468.6403,0.0,10.8,7.553629548043163
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,130,Ophthalmology Service,2027-05-01,1586.4315185546875,10.0,12,12,120.0,1466.4315,0.0,10.8,7.564146236159349
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,130,Ophthalmology Service,2027-05-01,1495.2376708984375,10.0,12,12,120.0,1375.2377,0.0,10.8,8.025479984589746
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1453.1834716796875,10.0,12,12,120.0,1333.1835,0.0,10.8,8.257732236748874
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1448.789794921875,10.0,12,12,120.0,1328.7898,0.0,10.8,8.282775073417115
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,130,Ophthalmology Service,2027-05-01,1440.2420654296875,10.0,12,12,120.0,1320.2421,0.0,10.8,8.331932727169631
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1383.332763671875,10.0,12,12,120.0,1263.3328,0.0,10.8,8.674702367453206
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1325.244873046875,10.0,12,12,120.0,1205.2449,0.0,10.8,9.054930333298147
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,130,Ophthalmology Service,2027-05-01,1322.910888671875,10.0,12,12,120.0,1202.9109,0.0,10.8,9.070905759984557
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,130,Ophthalmology Service,2027-05-01,1258.8328857421875,10.0,12,12,120.0,1138.8329,0.0,10.8,9.53263942808818
RH5,SOMERSET NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1245.8504638671875,10.0,12,12,120.0,1125.8505,0.0,10.8,9.631974581244164
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1243.5653076171875,10.0,12,12,120.0,1123.5653,0.0,10.8,9.649674147788318
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,130,Ophthalmology Service,2027-05-01,1212.630126953125,10.0,12,12,120.0,1092.6301,0.0,10.8,9.895845182530145
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,130,Ophthalmology Service,2027-05-01,1174.432861328125,10.0,12,12,120.0,1054.4329,0.0,10.8,10.217697745982363
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1161.4700927734375,10.0,12,12,120.0,1041.4701,0.0,10.8,10.331733959111752
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,130,Ophthalmology Service,2027-05-01,1117.6041259765625,10.0,12,12,120.0,997.60413,0.0,10.8,10.737254561864113
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,130,Ophthalmology Service,2027-05-01,1109.2490234375,10.0,12,12,120.0,989.24902,0.0,10.8,10.818129875663697
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,130,Ophthalmology Service,2027-05-01,1090.3363037109375,10.0,12,12,120.0,970.3363,0.0,10.8,11.00577863835061
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1051.0692138671875,10.0,12,12,120.0,931.06921,0.0,10.8,11.416945565219754
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,130,Ophthalmology Service,2027-05-01,1034.855224609375,10.0,12,12,120.0,914.85522,0.0,10.8,11.595824917953735
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1030.329345703125,10.0,12,12,120.0,910.32935,0.0,10.8,11.646761348732499
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,130,Ophthalmology Service,2027-05-01,1008.6046142578125,10.0,12,12,120.0,888.60461,0.0,10.8,11.897625521800997
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,1005.0772094726562,10.0,12,12,120.0,885.07721,0.0,10.8,11.93938126036721
RXF,MID YORKSHIRE TEACHING NHS TRUST,130,Ophthalmology Service,2027-05-01,999.0220336914062,10.0,12,12,120.0,879.02203,0.0,10.8,12.011747083955457
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,130,Ophthalmology Service,2027-05-01,944.9913330078125,10.0,12,12,120.0,824.99133,0.0,10.8,12.698529161960888
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,929.7017822265625,10.0,12,12,120.0,809.70178,0.0,10.8,12.907364737175126
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,902.360595703125,10.0,12,12,120.0,782.3606,0.0,10.8,13.298453032126835
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,889.3516235351562,10.0,12,12,120.0,769.35162,0.0,10.8,13.492975874154501
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,879.3534545898438,10.0,12,12,120.0,759.35345,0.0,10.8,13.646389784864326
RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,130,Ophthalmology Service,2027-05-01,876.2772216796875,10.0,12,12,120.0,756.27722,0.0,10.8,13.694296397432153
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,130,Ophthalmology Service,2027-05-01,862.1616821289062,10.0,12,12,120.0,742.16168,0.0,10.8,13.918503047327285
R1H,BARTS HEALTH NHS TRUST,130,Ophthalmology Service,2027-05-01,849.4496459960938,10.0,12,12,120.0,729.44965,0.0,10.8,14.126793808864784
