trust_code,trust_name,specialty_code,specialty_name,baseline_predicted_backlog,sessions_allocated,simulated_completed_pathways,remaining_backlog,allocation_cost,percent_reduction
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,130,Ophthalmology Service,6996.6473388671875,144,1440.0,5556.64733,129.60000000000002,20.5812860110961
NTPH2,PRACTICE PLUS GROUP HOSPITAL - EMERSONS GREEN,130,Ophthalmology Service,1955.1031494140625,88,880.0,1075.103157,79.2,45.01041289119364
ACG22,NEWMEDICA - BRIGG - RIVERSIDE SURGERY,130,Ophthalmology Service,3265.029052734375,24,240.0,3025.02904,21.6,7.350623719534942
M7C9Q,SPAMEDICA EPSOM,130,Ophthalmology Service,1599.9902801513672,24,240.0,1359.9902663,21.6,15.000091124134503
ACG37,NEWMEDICA - IPSWICH,130,Ophthalmology Service,6484.064147949219,24,240.0,6244.06413,21.6,3.701382258469902
NPG11,SPAMEDICA BIRMINGHAM,130,Ophthalmology Service,4298.610260009766,24,240.0,4058.6102499999997,21.6,5.583199813035732
NVC19,RIVERS HOSPITAL,130,Ophthalmology Service,1224.1866302490234,20,200.0,1024.1866281,18.0,16.337378227968074
NPG19,SPAMEDICA BEDFORD,130,Ophthalmology Service,2096.1656646728516,12,120.0,1976.165664,10.8,5.724738365024617
M5E1S,SPAMEDICA EXETER,130,Ophthalmology Service,1494.5367279052734,12,120.0,1374.5367217,10.8,8.029243962989836
E3D4A,SPAMEDICA TRURO,130,Ophthalmology Service,1546.8373413085938,12,120.0,1426.8373457,10.8,7.757764620453394
NT242,"NUFFIELD HEALTH, WOLVERHAMPTON HOSPITAL",130,Ophthalmology Service,835.0552978515625,12,120.0,715.0552958,10.8,14.370305811930903
NPG01,SPAMEDICA MANCHESTER,130,Ophthalmology Service,3225.5379943847656,12,120.0,3105.53799,10.8,3.720309610641825
L9D3Z,SPAMEDICA LEICESTER,130,Ophthalmology Service,1472.0090103149414,12,120.0,1352.0090244,10.8,8.15212401276848
NNH05,OPTEGRA (BIRMINGHAM EYE HOSPITAL),130,Ophthalmology Service,3091.735549926758,12,120.0,2971.73555,10.8,3.881315140385883
NPG07,SPAMEDICA EYE HOSPITAL (WAKEFIELD),130,Ophthalmology Service,4739.6494140625,12,120.0,4619.64941,10.8,2.5318328322757586
D5P5H,SPAMEDICA BEXHILL,130,Ophthalmology Service,1447.1522674560547,11,110.0,1337.1522755,9.9,7.601135172414767
NPG13,SPAMEDICA SKELMERSDALE,130,Ophthalmology Service,1229.9688415527344,10,100.0,1129.9688344,9.0,8.130287257826648
NTP11,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,130,Ophthalmology Service,1086.1502838134766,8,80.0,1006.1502792,7.2,7.365463250547593
NVC07,FULWOOD HALL HOSPITAL,130,Ophthalmology Service,1049.4539337158203,8,80.0,969.4539336,7.2,7.62301206654613
M0N7E,SPAMEDICA SITTINGBOURNE,130,Ophthalmology Service,864.1451721191406,6,60.0,804.1451719,5.4,6.943277812090551
NTE02,ST HUGH'S HOSPITAL,130,Ophthalmology Service,705.9793701171875,5,50.0,655.979369,4.5,7.082359926707258
NVC08,MOUNT STUART HOSPITAL,130,Ophthalmology Service,710.7083702087402,5,50.0,660.7083693,4.5,7.035234435935324
NT417,GORING HALL HOSPITAL,130,Ophthalmology Service,341.9042778015137,3,30.0,311.9042774,2.7,8.774385682713206
RJN,EAST CHESHIRE NHS TRUST,100,General Surgery Service,4265.988006591797,0,0.0,4265.98799,0.0,0.0
RJN,EAST CHESHIRE NHS TRUST,120,Ear Nose and Throat Service,2080.7286529541016,0,0.0,2080.72867,0.0,0.0
RJN,EAST CHESHIRE NHS TRUST,110,Trauma and Orthopaedic Service,6613.177429199219,0,0.0,6613.17743,0.0,0.0
RJN,EAST CHESHIRE NHS TRUST,101,Urology Service,1183.018409729004,0,0.0,1183.018407,0.0,0.0
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,101,Urology Service,6969.793884277344,0,0.0,6969.79388,0.0,0.0
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,502,Gynaecology Service,11719.461547851562,0,0.0,11719.46155,0.0,0.0
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,140,Oral Surgery Service,4537.608123779297,0,0.0,4537.60811,0.0,0.0
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,130,Ophthalmology Service,6724.1556396484375,0,0.0,6724.15564,0.0,0.0
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,120,Ear Nose and Throat Service,9808.237731933594,0,0.0,9808.23774,0.0,0.0
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,170,Cardiothoracic Surgery Service,1316.346290588379,0,0.0,1316.3463,0.0,0.0
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,502,Gynaecology Service,15680.578735351562,0,0.0,15680.5788,0.0,0.0
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,19490.852905273438,0,0.0,19490.8529,0.0,0.0
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,100,General Surgery Service,16135.502197265625,0,0.0,16135.5021,0.0,0.0
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,160,Plastic Surgery Service,7098.949890136719,0,0.0,7098.94988,0.0,0.0
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,101,Urology Service,2184.493408203125,0,0.0,2184.4934200000002,0.0,0.0
RJN,EAST CHESHIRE NHS TRUST,130,Ophthalmology Service,3019.1403198242188,0,0.0,3019.14033,0.0,0.0
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,23608.31982421875,0,0.0,23608.3198,0.0,0.0
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,33629.091064453125,0,0.0,33629.091,0.0,0.0
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,101,Urology Service,4705.983428955078,0,0.0,4705.98344,0.0,0.0
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,100,General Surgery Service,10700.355163574219,0,0.0,10700.35516,0.0,0.0
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,502,Gynaecology Service,12224.659362792969,0,0.0,12224.65945,0.0,0.0
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,170,Cardiothoracic Surgery Service,656.1975555419922,0,0.0,656.197555,0.0,0.0
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,160,Plastic Surgery Service,201.05103302001953,0,0.0,201.051032,0.0,0.0
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,150,Neurosurgical Service,9855.783630371094,0,0.0,9855.78364,0.0,0.0
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,140,Oral Surgery Service,25525.059692382812,0,0.0,25525.059699999998,0.0,0.0
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,94552.34375,0,0.0,94552.344,0.0,0.0
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,120,Ear Nose and Throat Service,998.5197067260742,0,0.0,998.5197049999999,0.0,0.0
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,101,Urology Service,10156.874206542969,0,0.0,10156.87419,0.0,0.0
RJN,EAST CHESHIRE NHS TRUST,160,Plastic Surgery Service,124.91312980651855,0,0.0,124.913131,0.0,0.0
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,100,General Surgery Service,23443.705322265625,0,0.0,23443.7053,0.0,0.0
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,502,Gynaecology Service,4852.981292724609,0,0.0,4852.98129,0.0,0.0
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,160,Plastic Surgery Service,6514.743896484375,0,0.0,6514.743909999999,0.0,0.0
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,140,Oral Surgery Service,3920.3191528320312,0,0.0,3920.31916,0.0,0.0
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,3028.9721069335938,0,0.0,3028.9721099999997,0.0,0.0
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,120,Ear Nose and Throat Service,5067.421325683594,0,0.0,5067.42133,0.0,0.0
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,9447.255615234375,0,0.0,9447.25562,0.0,0.0
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,140,Oral Surgery Service,19622.107788085938,0,0.0,19622.1079,0.0,0.0
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,100,General Surgery Service,3468.4884643554688,0,0.0,3468.48846,0.0,0.0
RJN,EAST CHESHIRE NHS TRUST,502,Gynaecology Service,3747.847625732422,0,0.0,3747.84762,0.0,0.0
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,150,Neurosurgical Service,1092.8964385986328,0,0.0,1092.89644,0.0,0.0
A0C5S,SPAMEDICA GLOUCESTER,130,Ophthalmology Service,876.1770095825195,0,0.0,876.17701,0.0,0.0
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,130,Ophthalmology Service,21459.038330078125,0,0.0,21459.0384,0.0,0.0
RJ6,CROYDON HEALTH SERVICES NHS TRUST,101,Urology Service,2780.5541076660156,0,0.0,2780.55411,0.0,0.0
RJ2,LEWISHAM AND GREENWICH NHS TRUST,502,Gynaecology Service,8487.179077148438,0,0.0,8487.17908,0.0,0.0
RJ2,LEWISHAM AND GREENWICH NHS TRUST,160,Plastic Surgery Service,61.75822591781616,0,0.0,61.758226,0.0,0.0
RJ2,LEWISHAM AND GREENWICH NHS TRUST,120,Ear Nose and Throat Service,35225.253662109375,0,0.0,35225.2537,0.0,0.0
RJ2,LEWISHAM AND GREENWICH NHS TRUST,110,Trauma and Orthopaedic Service,28896.03515625,0,0.0,28896.0352,0.0,0.0
RJ2,LEWISHAM AND GREENWICH NHS TRUST,101,Urology Service,4778.0262451171875,0,0.0,4778.02625,0.0,0.0
RJ2,LEWISHAM AND GREENWICH NHS TRUST,100,General Surgery Service,22929.478515625,0,0.0,22929.4783,0.0,0.0
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,502,Gynaecology Service,8857.283752441406,0,0.0,8857.28377,0.0,0.0
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,170,Cardiothoracic Surgery Service,445.3887939453125,0,0.0,445.388795,0.0,0.0
