productivity_scenario,available_sessions,solver_status,sessions_used,unused_sessions,baseline_predicted_backlog,simulated_completed_pathways,remaining_backlog,national_percent_reduction,total_allocation_cost
low,500,Optimal,500,0,1013778.3899540901,3500.0,1010278.3901507999,0.3452431058585201,450.0
low,2500,Optimal,2500,0,1013778.3899540901,17500.0,996278.39022457,1.7262155292926005,2250.0
low,5000,Optimal,5000,0,1013778.3899540901,30216.2885354,983562.101718419,2.980561514708197,4738.3
low,10000,Optimal,10000,0,1013778.3899540901,55216.2885354,958562.101687206,5.446583699411913,9738.3
low,25000,Optimal,16946,8054,1013778.3899540901,85533.1023429,928245.2879441432,8.437061116164989,17358.7
low,50000,Optimal,16946,33054,1013778.3899540901,85533.1023429,928245.2879441432,8.437061116164989,17358.7
central,500,Optimal,500,0,1013778.3899540901,5000.0,1008778.39009836,0.493204436940743,450.0
central,2500,Optimal,2500,0,1013778.3899540901,24996.4512035,988781.9389860701,2.465672128267795,2250.0
central,5000,Optimal,5000,0,1013778.3899540901,45004.170945800004,968774.219290574,4.4392513582616475,4749.000000000001
central,10000,Optimal,10000,0,1013778.3899540901,85004.1709458,928774.2193558471,8.384886853787592,9749.000000000002
central,25000,Optimal,16081,8919,1013778.3899540901,123392.5845009,890385.80590896,12.171554032285888,16492.4
central,50000,Optimal,16081,33919,1013778.3899540901,123392.5845009,890385.80590896,12.171554032285888,16492.4
high,500,Optimal,500,0,1013778.3899540901,7000.0,1006778.3901621801,0.6904862117170402,450.0
high,2500,Optimal,2500,0,1013778.3899540901,34553.444816,979224.9455197199,3.4083824589676635,2264.2
high,5000,Optimal,5000,0,1013778.3899540901,62053.444816,951724.945473226,6.12100686214175,4764.200000000001
high,10000,Optimal,10000,0,1013778.3899540901,117004.022334,896774.3680064301,11.541380591008517,9763.099999999999
high,25000,Optimal,15384,9616,1013778.3899540901,161794.0676139,851984.3228197936,15.95951040357321,15795.800000000001
high,50000,Optimal,15384,34616,1013778.3899540901,161794.0676139,851984.3228197936,15.95951040357321,15795.800000000001
