scenario,trust_code,trust_name,specialty_code,specialty_name,baseline_predicted_backlog,sessions_allocated,simulated_completed_pathways,remaining_backlog,allocation_cost,percent_reduction,solver_status,sessions_used,unused_sessions,baseline_predicted_backlog_national,remaining_backlog_national,simulated_completed_pathways_national
optimistic_p10,Z9Z1G,SPAMEDICA GATESHEAD,130,Ophthalmology Service,145.63282775878906,12,120.0,25.632828,10.8,82.3990042950724,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,1232.722900390625,12,120.0,1112.7229,10.8,9.734547801616602,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,515.3373413085938,12,120.0,395.33734,10.8,23.285717991109387,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,483.93359375,12,120.0,363.93359,10.8,24.796790623713544,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,580.8492431640625,12,120.0,460.84924,10.8,20.659405415822444,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,798.3533325195312,12,120.0,678.35333,10.8,15.030938697442497,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,130,Ophthalmology Service,266.6510314941406,12,120.0,146.65103,10.8,45.00263859006931,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,506.6286315917969,12,120.0,386.62863,10.8,23.68598861516515,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,831.8765869140625,12,120.0,711.87659,10.8,14.425216659258698,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,130,Ophthalmology Service,295.8786926269531,12,120.0,175.87869,10.8,40.557161766054314,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,130,Ophthalmology Service,1001.6069946289062,12,120.0,881.60699,10.8,11.980747003914425,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,130,Ophthalmology Service,1020.902587890625,12,120.0,900.90259,10.8,11.754304614698095,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
optimistic_p10,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,130,Ophthalmology Service,304.26141357421875,12,120.0,184.26141,10.8,39.4397694371877,Optimal,5000,0,556122.2204169035,512048.2129816391,44074.0073321
