series_id,trust_code,trust_name,specialty_code,specialty_name,first_month,last_month,total_months,observed_months,missing_months,missing_pct,max_consecutive_missing_months,excluded_for_insufficient_history,discontinued_series,latest_observed_month
ADP02__100,ADP02,KIMS HOSPITAL LTD,100,General Surgery,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
ADP02__110,ADP02,KIMS HOSPITAL LTD,110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
ADP02__120,ADP02,KIMS HOSPITAL LTD,120,ENT,2015-10-01,2026-05-01,128,59,69,53.90625,51,False,False,2026-05-01
ADP02__130,ADP02,KIMS HOSPITAL LTD,130,Ophthalmology,2015-10-01,2026-02-01,125,98,27,21.6,12,False,True,2026-02-01
ADP02__502,ADP02,KIMS HOSPITAL LTD,502,Gynaecology,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
ADP02__X01,ADP02,KIMS HOSPITAL LTD,X01,Other,2015-10-01,2021-03-01,66,66,0,0.0,0,False,True,2021-03-01
AHH__100,AHH,FOSCOTE COURT (BANBURY) TRUST LTD,100,General Surgery,2015-10-01,2019-06-01,45,45,0,0.0,0,False,True,2019-06-01
AHH__110,AHH,FOSCOTE COURT (BANBURY) TRUST LTD,110,Trauma & Orthopaedics,2015-10-01,2019-06-01,45,45,0,0.0,0,False,True,2019-06-01
AHH__301,AHH,FOSCOTE COURT (BANBURY) TRUST LTD,301,Gastroenterology,2015-10-01,2016-04-01,7,7,0,0.0,0,True,True,2016-04-01
AHH__502,AHH,FOSCOTE COURT (BANBURY) TRUST LTD,502,Gynaecology,2015-10-01,2019-06-01,45,45,0,0.0,0,False,True,2019-06-01
AHH__X01,AHH,FOSCOTE COURT (BANBURY) TRUST LTD,X01,Other,2015-10-01,2017-11-01,26,21,5,19.23076923076923,5,True,True,2017-11-01
AJX__110,AJX,SUSSEX MSK PARTNERSHIP 2,110,Trauma & Orthopaedics,2015-10-01,2024-11-01,110,110,0,0.0,0,False,True,2024-11-01
AJX__410,AJX,SUSSEX MSK PARTNERSHIP 2,410,Rheumatology,2015-10-01,2024-11-01,110,110,0,0.0,0,False,True,2024-11-01
AJX__X01,AJX,SUSSEX MSK PARTNERSHIP 2,X01,Other,2015-10-01,2021-03-01,66,65,1,1.5151515151515151,1,False,True,2021-03-01
IS1__330,IS1,INDEPENDENT SECTOR - UNSPECIFIED,330,Dermatology,2015-10-01,2017-12-01,27,21,6,22.22222222222222,4,True,True,2017-12-01
NAM01__100,NAM01,PROBUS SURGICAL CENTRE,100,General Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NAM01__101,NAM01,PROBUS SURGICAL CENTRE,101,Urology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NAM01__110,NAM01,PROBUS SURGICAL CENTRE,110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NAM01__130,NAM01,PROBUS SURGICAL CENTRE,130,Ophthalmology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NCR__130,NCR,ISIGHT,130,Ophthalmology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NDJ__110,NDJ,FIRST COMMUNITY HEALTH AND CARE CIC,110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NDL01__X01,NDL01,SUFFOLK GP FEDERATION - WOODBRIDGE,X01,Other,2015-10-01,2021-03-01,66,66,0,0.0,0,False,True,2021-03-01
NEJ01__110,NEJ01,HAND TO ELBOW CLINIC (BATH),110,Trauma & Orthopaedics,2015-10-01,2021-04-01,67,66,1,1.492537313432836,1,False,True,2021-04-01
NEY__150,NEY,PIONEER HEALTHCARE LIMITED,150,Neurosurgery,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
NFH__110,NFH,SOMERSET SURGICAL SERVICES HQ,110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NFH__130,NFH,SOMERSET SURGICAL SERVICES HQ,130,Ophthalmology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NFH__140,NFH,SOMERSET SURGICAL SERVICES HQ,140,Oral Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NFH__160,NFH,SOMERSET SURGICAL SERVICES HQ,160,Plastic Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NFH__X01,NFH,SOMERSET SURGICAL SERVICES HQ,X01,Other,2015-10-01,2021-03-01,66,66,0,0.0,0,False,True,2021-03-01
NL8__100,NL8,LOCALA COMMUNITY PARTNERSHIPS CIC,100,General Surgery,2015-10-01,2015-10-01,1,1,0,0.0,0,True,True,2015-10-01
NL8__110,NL8,LOCALA COMMUNITY PARTNERSHIPS CIC,110,Trauma & Orthopaedics,2015-10-01,2025-07-01,118,118,0,0.0,0,False,True,2025-07-01
NL8__160,NL8,LOCALA COMMUNITY PARTNERSHIPS CIC,160,Plastic Surgery,2015-10-01,2022-10-01,85,85,0,0.0,0,False,True,2022-10-01
NL8__330,NL8,LOCALA COMMUNITY PARTNERSHIPS CIC,330,Dermatology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NL8__400,NL8,LOCALA COMMUNITY PARTNERSHIPS CIC,400,Neurology,2015-10-01,2022-09-01,84,83,1,1.1904761904761905,1,False,True,2022-09-01
NL8__X01,NL8,LOCALA COMMUNITY PARTNERSHIPS CIC,X01,Other,2015-10-01,2021-03-01,66,66,0,0.0,0,False,True,2021-03-01
NLE01__101,NLE01,LANCASTER HOUSE CONSULTING DIAGNOSTICS SURGICAL LTD HQ,101,Urology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NLF06__110,NLF06,OLDHAM INTEGRATED CARE CENTRE,110,Trauma & Orthopaedics,2015-10-01,2024-01-01,100,100,0,0.0,0,False,True,2024-01-01
NLF06__410,NLF06,OLDHAM INTEGRATED CARE CENTRE,410,Rheumatology,2015-10-01,2024-01-01,100,100,0,0.0,0,False,True,2024-01-01
NLF06__X01,NLF06,OLDHAM INTEGRATED CARE CENTRE,X01,Other,2015-10-01,2021-03-01,66,66,0,0.0,0,False,True,2021-03-01
NLL__X01,NLL,PENINSULA COMMUNITY HEALTH C.I.C,X01,Other,2015-10-01,2016-03-01,6,6,0,0.0,0,True,True,2016-03-01
NLT__110,NLT,NORTH SOMERSET COMMUNITY PARTNERSHIP COMMUNITY INTEREST COMPANY,110,Trauma & Orthopaedics,2015-10-01,2020-02-01,53,48,5,9.433962264150944,5,False,True,2020-02-01
NLW__110,NLW,BRISTOL COMMUNITY HEALTH,110,Trauma & Orthopaedics,2015-10-01,2020-03-01,54,54,0,0.0,0,False,True,2020-03-01
NLX__110,NLX,SIRONA CARE & HEALTH,110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
NLX__400,NLX,SIRONA CARE & HEALTH,400,Neurology,2015-10-01,2015-11-01,2,2,0,0.0,0,True,True,2015-11-01
NLX__430,NLX,SIRONA CARE & HEALTH,430,Geriatric Medicine,2015-10-01,2017-03-01,18,17,1,5.555555555555555,1,True,True,2017-03-01
NLX__X01,NLX,SIRONA CARE & HEALTH,X01,Other,2015-10-01,2017-03-01,18,17,1,5.555555555555555,1,True,True,2017-03-01
NN4__100,NN4,TYNESIDE SURGICAL SERVICES LTD,100,General Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NN4__110,NN4,TYNESIDE SURGICAL SERVICES LTD,110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NN4__160,NN4,TYNESIDE SURGICAL SERVICES LTD,160,Plastic Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NN4__301,NN4,TYNESIDE SURGICAL SERVICES LTD,301,Gastroenterology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NN4__502,NN4,TYNESIDE SURGICAL SERVICES LTD,502,Gynaecology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NN4__X01,NN4,TYNESIDE SURGICAL SERVICES LTD,X01,Other,2015-10-01,2021-03-01,66,66,0,0.0,0,False,True,2021-03-01
NN5__100,NN5,MANCHESTER SURGICAL SERVICES LTD,100,General Surgery,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
NN5__110,NN5,MANCHESTER SURGICAL SERVICES LTD,110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NN5__120,NN5,MANCHESTER SURGICAL SERVICES LTD,120,ENT,2015-10-01,2025-04-01,115,114,1,0.8695652173913043,1,False,True,2025-04-01
NN5__301,NN5,MANCHESTER SURGICAL SERVICES LTD,301,Gastroenterology,2015-10-01,2026-05-01,128,118,10,7.8125,10,False,False,2026-05-01
NNE__100,NNE,DORKING HEALTHCARE LIMITED,100,General Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NNE__101,NNE,DORKING HEALTHCARE LIMITED,101,Urology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NNE__110,NNE,DORKING HEALTHCARE LIMITED,110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NNE__120,NNE,DORKING HEALTHCARE LIMITED,120,ENT,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NNE__130,NNE,DORKING HEALTHCARE LIMITED,130,Ophthalmology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NNE__150,NNE,DORKING HEALTHCARE LIMITED,150,Neurosurgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NNE__160,NNE,DORKING HEALTHCARE LIMITED,160,Plastic Surgery,2015-10-01,2021-10-01,73,73,0,0.0,0,False,True,2021-10-01
NNE__300,NNE,DORKING HEALTHCARE LIMITED,300,General Medicine,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NNE__301,NNE,DORKING HEALTHCARE LIMITED,301,Gastroenterology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NNE__330,NNE,DORKING HEALTHCARE LIMITED,330,Dermatology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NNE__400,NNE,DORKING HEALTHCARE LIMITED,400,Neurology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NNE__410,NNE,DORKING HEALTHCARE LIMITED,410,Rheumatology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NNE__430,NNE,DORKING HEALTHCARE LIMITED,430,Geriatric Medicine,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NNE__502,NNE,DORKING HEALTHCARE LIMITED,502,Gynaecology,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NNE__X01,NNE,DORKING HEALTHCARE LIMITED,X01,Other,2015-10-01,2021-03-01,66,66,0,0.0,0,False,True,2021-03-01
NNF__320,NNF,CITY HEALTH CARE PARTNERSHIP CIC,320,Cardiology,2015-10-01,2018-09-01,36,36,0,0.0,0,False,True,2018-09-01
NNF__502,NNF,CITY HEALTH CARE PARTNERSHIP CIC,502,Gynaecology,2015-10-01,2024-01-01,100,100,0,0.0,0,False,True,2024-01-01
NNF__X01,NNF,CITY HEALTH CARE PARTNERSHIP CIC,X01,Other,2015-10-01,2021-03-01,66,66,0,0.0,0,False,True,2021-03-01
NP0__130,NP0,BEXLEY HEALTH LIMITED,130,Ophthalmology,2015-10-01,2015-10-01,1,1,0,0.0,0,True,True,2015-10-01
NQA__X01,NQA,PROVIDE,X01,Other,2015-10-01,2021-03-01,66,66,0,0.0,0,False,True,2021-03-01
NQH__100,NQH,NOVUS HEALTH LTD,100,General Surgery,2015-10-01,2019-06-01,45,45,0,0.0,0,False,True,2019-06-01
NQH__101,NQH,NOVUS HEALTH LTD,101,Urology,2015-10-01,2017-10-01,25,25,0,0.0,0,True,True,2017-10-01
NQH__110,NQH,NOVUS HEALTH LTD,110,Trauma & Orthopaedics,2015-10-01,2024-05-01,104,103,1,0.9615384615384616,1,False,True,2024-05-01
NQH__130,NQH,NOVUS HEALTH LTD,130,Ophthalmology,2015-10-01,2019-04-01,43,43,0,0.0,0,False,True,2019-04-01
NQM01__110,NQM01,ORTHOPAEDICS & SPINE SPECIALIST HOSPITAL SITE,110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
NQV__X01,NQV,BROMLEY HEALTHCARE,X01,Other,2015-10-01,2021-03-01,66,66,0,0.0,0,False,True,2021-03-01
NR5__430,NR5,LIVEWELL SOUTHWEST,430,Geriatric Medicine,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NR5__X01,NR5,LIVEWELL SOUTHWEST,X01,Other,2015-10-01,2021-03-01,66,66,0,0.0,0,False,True,2021-03-01
NT202__100,NT202,"NUFFIELD HEALTH, BOURNEMOUTH HOSPITAL",100,General Surgery,2015-10-01,2026-05-01,128,125,3,2.34375,3,False,False,2026-05-01
NT202__110,NT202,"NUFFIELD HEALTH, BOURNEMOUTH HOSPITAL",110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,125,3,2.34375,3,False,False,2026-05-01
NT202__330,NT202,"NUFFIELD HEALTH, BOURNEMOUTH HOSPITAL",330,Dermatology,2015-10-01,2021-07-01,70,65,5,7.142857142857143,3,False,True,2021-07-01
NT202__502,NT202,"NUFFIELD HEALTH, BOURNEMOUTH HOSPITAL",502,Gynaecology,2015-10-01,2025-03-01,114,74,40,35.08771929824562,18,False,True,2025-03-01
NT204__100,NT204,"NUFFIELD HEALTH, BRENTWOOD HOSPITAL",100,General Surgery,2015-10-01,2026-05-01,128,125,3,2.34375,2,False,False,2026-05-01
NT204__101,NT204,"NUFFIELD HEALTH, BRENTWOOD HOSPITAL",101,Urology,2015-10-01,2026-05-01,128,55,73,57.03125,26,False,False,2026-05-01
NT204__110,NT204,"NUFFIELD HEALTH, BRENTWOOD HOSPITAL",110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,124,4,3.125,3,False,False,2026-05-01
NT204__120,NT204,"NUFFIELD HEALTH, BRENTWOOD HOSPITAL",120,ENT,2015-10-01,2026-05-01,128,74,54,42.1875,48,False,False,2026-05-01
NT204__130,NT204,"NUFFIELD HEALTH, BRENTWOOD HOSPITAL",130,Ophthalmology,2015-10-01,2018-08-01,35,35,0,0.0,0,True,True,2018-08-01
NT204__150,NT204,"NUFFIELD HEALTH, BRENTWOOD HOSPITAL",150,Neurosurgery,2015-10-01,2026-05-01,128,105,23,17.96875,8,False,False,2026-05-01
NT204__320,NT204,"NUFFIELD HEALTH, BRENTWOOD HOSPITAL",320,Cardiology,2015-10-01,2021-06-01,69,12,57,82.6086956521739,34,False,True,2021-06-01
NT204__502,NT204,"NUFFIELD HEALTH, BRENTWOOD HOSPITAL",502,Gynaecology,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
NT205__100,NT205,"NUFFIELD HEALTH, BRIGHTON HOSPITAL",100,General Surgery,2015-10-01,2026-05-01,128,118,10,7.8125,5,False,False,2026-05-01
NT205__110,NT205,"NUFFIELD HEALTH, BRIGHTON HOSPITAL",110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,125,3,2.34375,3,False,False,2026-05-01
NT205__160,NT205,"NUFFIELD HEALTH, BRIGHTON HOSPITAL",160,Plastic Surgery,2015-10-01,2026-05-01,128,123,5,3.90625,4,False,False,2026-05-01
NT205__301,NT205,"NUFFIELD HEALTH, BRIGHTON HOSPITAL",301,Gastroenterology,2015-10-01,2017-10-01,25,24,1,4.0,1,True,True,2017-10-01
NT207__100,NT207,"NUFFIELD HEALTH, BRISTOL HOSPITAL (ST MARY'S)",100,General Surgery,2015-10-01,2016-06-01,9,9,0,0.0,0,True,True,2016-06-01
NT207__110,NT207,"NUFFIELD HEALTH, BRISTOL HOSPITAL (ST MARY'S)",110,Trauma & Orthopaedics,2015-10-01,2016-06-01,9,9,0,0.0,0,True,True,2016-06-01
NT207__130,NT207,"NUFFIELD HEALTH, BRISTOL HOSPITAL (ST MARY'S)",130,Ophthalmology,2015-10-01,2016-06-01,9,9,0,0.0,0,True,True,2016-06-01
NT207__301,NT207,"NUFFIELD HEALTH, BRISTOL HOSPITAL (ST MARY'S)",301,Gastroenterology,2015-10-01,2016-06-01,9,9,0,0.0,0,True,True,2016-06-01
NT209__100,NT209,"NUFFIELD HEALTH, CAMBRIDGE HOSPITAL",100,General Surgery,2015-10-01,2025-06-01,117,115,2,1.7094017094017093,1,False,True,2025-06-01
NT209__110,NT209,"NUFFIELD HEALTH, CAMBRIDGE HOSPITAL",110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NT209__150,NT209,"NUFFIELD HEALTH, CAMBRIDGE HOSPITAL",150,Neurosurgery,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
NT210__110,NT210,"NUFFIELD HEALTH, THE GROSVENOR HOSPITAL, CHESTER",110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NT210__502,NT210,"NUFFIELD HEALTH, THE GROSVENOR HOSPITAL, CHESTER",502,Gynaecology,2015-10-01,2015-12-01,3,2,1,33.333333333333336,1,True,True,2015-12-01
NT211__100,NT211,"NUFFIELD HEALTH, CHELTENHAM HOSPITAL",100,General Surgery,2015-10-01,2025-04-01,115,108,7,6.086956521739131,7,False,True,2025-04-01
NT211__110,NT211,"NUFFIELD HEALTH, CHELTENHAM HOSPITAL",110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NT211__502,NT211,"NUFFIELD HEALTH, CHELTENHAM HOSPITAL",502,Gynaecology,2015-10-01,2016-07-01,10,10,0,0.0,0,True,True,2016-07-01
NT212__100,NT212,"NUFFIELD HEALTH, CHICHESTER HOSPITAL",100,General Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NT212__101,NT212,"NUFFIELD HEALTH, CHICHESTER HOSPITAL",101,Urology,2015-10-01,2025-10-01,121,119,2,1.6528925619834711,1,False,True,2025-10-01
NT212__110,NT212,"NUFFIELD HEALTH, CHICHESTER HOSPITAL",110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NT212__130,NT212,"NUFFIELD HEALTH, CHICHESTER HOSPITAL",130,Ophthalmology,2015-10-01,2026-02-01,125,23,102,81.6,51,False,True,2026-02-01
NT212__301,NT212,"NUFFIELD HEALTH, CHICHESTER HOSPITAL",301,Gastroenterology,2015-10-01,2022-07-01,82,27,55,67.07317073170732,24,False,True,2022-07-01
NT212__330,NT212,"NUFFIELD HEALTH, CHICHESTER HOSPITAL",330,Dermatology,2015-10-01,2020-09-01,60,4,56,93.33333333333333,56,False,True,2020-09-01
NT213__100,NT213,"NUFFIELD HEALTH, DERBY HOSPITAL",100,General Surgery,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NT213__110,NT213,"NUFFIELD HEALTH, DERBY HOSPITAL",110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
NT213__120,NT213,"NUFFIELD HEALTH, DERBY HOSPITAL",120,ENT,2015-10-01,2023-02-01,89,89,0,0.0,0,False,True,2023-02-01
NT213__130,NT213,"NUFFIELD HEALTH, DERBY HOSPITAL",130,Ophthalmology,2015-10-01,2019-02-01,41,6,35,85.36585365853658,27,False,True,2019-02-01
NT213__301,NT213,"NUFFIELD HEALTH, DERBY HOSPITAL",301,Gastroenterology,2015-10-01,2025-09-01,120,105,15,12.5,6,False,True,2025-09-01
NT214__100,NT214,"NUFFIELD HEALTH, WESSEX HOSPITAL",100,General Surgery,2015-10-01,2021-04-01,67,67,0,0.0,0,False,True,2021-04-01
NT214__101,NT214,"NUFFIELD HEALTH, WESSEX HOSPITAL",101,Urology,2015-10-01,2024-10-01,109,23,86,78.89908256880734,86,False,True,2024-10-01
NT214__110,NT214,"NUFFIELD HEALTH, WESSEX HOSPITAL",110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,127,1,0.78125,1,False,False,2026-05-01
NT214__130,NT214,"NUFFIELD HEALTH, WESSEX HOSPITAL",130,Ophthalmology,2015-10-01,2018-04-01,31,21,10,32.25806451612903,10,True,True,2018-04-01
NT214__502,NT214,"NUFFIELD HEALTH, WESSEX HOSPITAL",502,Gynaecology,2015-10-01,2024-08-01,107,35,72,67.28971962616822,60,False,True,2024-08-01
NT215__100,NT215,"NUFFIELD HEALTH, EXETER HOSPITAL",100,General Surgery,2015-10-01,2026-05-01,128,100,28,21.875,23,False,False,2026-05-01
NT215__110,NT215,"NUFFIELD HEALTH, EXETER HOSPITAL",110,Trauma & Orthopaedics,2015-10-01,2026-05-01,128,128,0,0.0,0,False,False,2026-05-01
