model,model_name,horizon,n_rows,mae,rmse,smape,wape,pinball_q10,pinball_q50,pinball_q90,pinball_mean,p10_p90_coverage,average_interval_width
naive_last_value,naive_last_value,1,3043,90.79953992770292,227.2095271789471,8.698928383740597,3.930765782536123,30.7395596450871,45.39976996385146,29.91809727242853,35.35247562712237,0.791981597108117,240.73595136378574
hist_gradient_boosting,hist_gradient_boosting,1,3043,134.2403664516184,441.2934073793338,9.967505675052092,5.811344853765504,42.187672350515484,67.1201832258092,36.81934628119587,48.70906728584018,0.8527768649359185,569.2578265300693
TCN,TCN,1,3043,232.86464838099408,506.320614032815,15.20180282574224,10.080848345125242,76.54872812853623,116.43232419049704,167.4544193017729,120.14515720693542,0.943805455142951,2396.4890808935556
seasonal_naive_12m,seasonal_naive_12m,1,3043,416.49227735787053,806.3094761999223,28.713266466116078,18.030197001354768,141.84539599079852,208.24613867893527,130.42174498849818,160.17109321941066,0.8120276043378245,1192.0407821229048
historical_seasonal_mean,historical_seasonal_mean,1,3043,734.3823474641254,1301.3504534014414,44.14085590576464,31.79184613720505,131.7914039246984,367.1911737320627,273.87501898711065,257.6191988812906,0.7877094972067039,2388.1473467599344
naive_last_value,naive_last_value,2,3043,146.83996056523168,306.35051630974414,13.059331906458228,6.337012056708822,47.95616496878081,73.41998028261584,48.67893526125533,56.68502683755066,0.7896812356227407,389.17617482747283
hist_gradient_boosting,hist_gradient_boosting,2,3043,185.01885255740962,490.38862089817525,13.609824900661959,7.984656866302304,50.82607879397335,92.50942627870481,51.17956687343052,64.83835731536956,0.8153138350312192,700.1963800199303
TCN,TCN,2,3043,257.72380193401,524.8484862299958,17.633700960995217,11.122305085550138,78.87655882407844,128.861900967005,171.46692432330852,126.40179470479733,0.9375616168255011,2437.6788888828723
seasonal_naive_12m,seasonal_naive_12m,2,3043,425.90305619454483,824.4525354683698,28.80173292006494,18.38023377086779,141.20724613867895,212.95152809727242,130.27752218205717,161.4787654726695,0.8044692737430168,1152.6127177127835
historical_seasonal_mean,historical_seasonal_mean,2,3043,723.3191442498787,1279.1234025413764,43.554174382418076,31.2154955661647,133.58033387843034,361.65957212493936,268.8862646641524,254.70872355584072,0.7880381202760434,2351.4640846282655
naive_last_value,naive_last_value,3,3043,182.9125862635557,365.1297272378455,15.312158073185602,7.887060062486831,60.02832730857707,91.45629313177785,59.80614525139664,70.43025523058385,0.801840289188301,508.2395662175485
hist_gradient_boosting,hist_gradient_boosting,3,3043,217.89550477095702,520.1631008997277,15.679327984001468,9.395498519703759,58.31966793968198,108.94775238547851,58.950488190178284,75.40596950511294,0.806112389089714,793.9633880342037
TCN,TCN,3,3043,279.5397898372834,545.382863112699,19.34881972446073,12.053556058328413,83.26409212716446,139.7698949186417,197.6680641577034,140.2340170678365,0.9349326322707854,2742.9332230192263
seasonal_naive_12m,seasonal_naive_12m,3,3043,423.4797896812356,809.8513540006792,28.51501319617377,18.260146033103652,138.374630299047,211.7398948406178,126.62771606966808,158.91408040311097,0.8011830430496221,1131.0599408478474
historical_seasonal_mean,historical_seasonal_mean,3,3043,714.570368370812,1265.4004490143982,42.94221470257935,30.811763855841605,136.51072234480384,357.285184185406,266.71581082526114,253.503905785157,0.786395004929346,2291.91362025257
naive_last_value,naive_last_value,4,3041,218.06280828674778,424.16196618901193,17.910279282598665,9.426814738850553,71.35279513317988,109.03140414337389,70.15708648470897,83.5137619204209,0.7944755014797764,586.2481091746137
hist_gradient_boosting,hist_gradient_boosting,4,3041,261.3661898170521,569.5156475504274,18.084668726545086,11.298811887099466,66.94651912427663,130.68309490852604,69.21491927891252,88.94817777057173,0.793160144689247,898.5705303972964
TCN,TCN,4,3041,305.38552142804645,580.408474242016,20.988383890250315,13.201759424486061,88.2259003158954,152.69276071402322,221.8525850083082,154.25708201274225,0.933903321275896,3020.2738615710145
seasonal_naive_12m,seasonal_naive_12m,4,3041,410.5422558368958,788.3216398730539,27.761584552877707,17.747665540265352,130.0786780664255,205.2711279184479,126.64913186451821,153.9996459497972,0.8092732653732325,1134.0939493587634
historical_seasonal_mean,historical_seasonal_mean,4,3041,704.5757124849281,1253.7699010617075,42.11018217236344,30.458677310782367,136.97712320508603,352.28785624246404,263.8474745932572,251.0374846802691,0.7911871095034528,2246.5230550205392
naive_last_value,naive_last_value,5,3044,253.61202365308804,506.38726428725073,19.918988263394276,10.96292448413213,81.74737187910645,126.80601182654402,82.30793692509857,96.95377354358301,0.7907358738501971,670.6289750328515
hist_gradient_boosting,hist_gradient_boosting,5,3044,294.34510081104787,637.6849464220875,20.070299556505613,12.72369923943267,72.26410967370423,147.17255040552394,75.76443598049816,98.4003653532421,0.7772667542706965,932.6185276261709
TCN,TCN,5,3044,337.19716833831444,646.3306474315193,22.98475715835701,14.576071905063714,93.68727951532966,168.59858416915722,223.39343561283388,161.8930997657736,0.9316688567674113,3066.4994588578793
seasonal_naive_12m,seasonal_naive_12m,5,3044,411.26708278580816,790.0300554421782,28.31555554808399,17.77790306013842,130.95331800262812,205.63354139290408,130.45003285151117,155.67896408234776,0.8104467805519053,1135.518396846255
historical_seasonal_mean,historical_seasonal_mean,5,3044,732.8358854525164,1309.5845359231187,43.549874063676185,31.678405289126427,135.45181445935802,366.4179427262582,272.77451667866,258.21475795475874,0.8032194480946123,2331.7308340112218
naive_last_value,naive_last_value,6,3043,276.09562931317777,539.1049723501158,21.929002836476926,12.055518933483635,89.31491948734802,138.04781465658888,84.45032533683865,103.93768649359187,0.7995399277029247,741.6649359185016
hist_gradient_boosting,hist_gradient_boosting,6,3043,312.655619948015,663.3104187051157,22.09844849003745,13.651884875250566,74.18730022117869,156.3278099740075,81.05306999487826,103.85606006335482,0.7916529740387775,1030.9462977339024
TCN,TCN,6,3043,375.44110966527927,713.3426600429975,25.28316939059339,16.393368548561273,88.85039214137116,187.72055483263964,230.47020465779997,169.01371721060357,0.9198159710811699,3062.2942060279174
seasonal_naive_12m,seasonal_naive_12m,6,3043,405.999014130792,784.0911270368158,28.49971500614753,17.72765767428192,129.95902070325337,202.999507065396,127.786559316464,153.58169569503778,0.812356227407164,1124.0101873151496
historical_seasonal_mean,historical_seasonal_mean,6,3043,719.1390494186501,1279.3601371314214,43.820603747613205,31.4006942001967,133.4150215430679,359.56952470932504,265.84382888909755,252.94279171383016,0.8077555044364114,2304.6955884961067
naive_last_value,naive_last_value,7,3044,298.75394218134034,582.6093325399797,23.439140478053005,13.10810267367778,95.93047634691196,149.37697109067017,89.617444152431,111.64163053000436,0.797634691195795,795.9338699080157
hist_gradient_boosting,hist_gradient_boosting,7,3044,331.55355402972623,696.3506688918162,23.335369843520752,14.547215666216808,77.98909653588346,165.77677701486311,87.01306292500324,110.25964549191661,0.7890932982917214,1075.1152506596031
seasonal_naive_12m,seasonal_naive_12m,7,3044,404.23226018396844,773.3052074206638,28.175952594439376,17.73606042422706,131.05037450722733,202.11613009198422,125.61870565045992,152.92840341655716,0.8157030223390276,1100.4467148488832
TCN,TCN,7,3044,426.54118455161245,808.3302162335656,27.15044653847966,18.714884901036438,93.47073916313968,213.27059227580622,239.03718953229745,181.92617365708114,0.9145860709592641,3193.597762395734
historical_seasonal_mean,historical_seasonal_mean,7,3044,710.1704899568236,1267.6365931481055,43.3182613545738,31.159380292025226,133.2594742715308,355.0852449784118,263.6158260590701,250.65351510300422,0.80946123521682,2296.5755295350727
naive_last_value,naive_last_value,8,3045,316.4203612479475,609.5922850750234,24.475226002603282,13.980780091253067,100.592091954023,158.21018062397374,92.0748932676519,116.95905528188287,0.8108374384236453,876.1417733990148
hist_gradient_boosting,hist_gradient_boosting,8,3045,347.43573011827266,715.481387153831,24.37927980646026,15.351169309933367,81.59337121316621,173.71786505913633,92.6208484293888,115.97736156723046,0.7917898193760263,1139.4351658000317
seasonal_naive_12m,seasonal_naive_12m,8,3045,396.9793103448276,751.4598106101438,28.493404410140162,17.5402126993948,130.60292282430214,198.4896551724138,118.2079146141215,149.10016420361248,0.81247947454844,1091.2906403940888
TCN,TCN,8,3045,475.25413669075675,899.0347887073412,28.743840531322387,20.998723174218284,91.9201692593685,237.62706834537838,262.9665360151018,197.5045912066162,0.910016420361248,3387.1176230153233
historical_seasonal_mean,historical_seasonal_mean,8,3045,696.2938286808975,1237.4725907826983,43.100805857026906,30.76518482973388,132.92752926994555,348.14691434044875,258.34109538144764,246.471846330614,0.8088669950738916,2297.254869288713
naive_last_value,naive_last_value,9,3045,343.5073891625616,662.5149109453756,25.738751627677395,15.250567533166244,110.03813136288998,171.7536945812808,100.75581280788178,127.51587958401753,0.8052545155993431,906.2116912972084
hist_gradient_boosting,hist_gradient_boosting,9,3045,372.57371560625506,757.317686992208,25.616192539128562,16.54101422617996,84.5947511469217,186.28685780312753,100.0858949724184,123.65583464082253,0.7878489326765189,1203.4449926900345
seasonal_naive_12m,seasonal_naive_12m,9,3045,404.3592775041051,772.6503496989977,28.53726044643118,17.952185786374248,133.07375369458126,202.17963875205254,119.88479474548438,151.71272906403942,0.8160919540229885,1066.7546141215107
TCN,TCN,9,3045,496.12116060429213,922.7062495948455,29.95347600003765,22.02610337691448,89.80040618261289,248.06058030214606,273.21440253860646,203.69179634112177,0.89688013136289,3403.8437418988383
historical_seasonal_mean,historical_seasonal_mean,9,3045,680.3029776891599,1215.987506417815,42.24549738394349,30.20315379403018,131.23963107618528,340.15148884457994,255.62109629368985,242.33740540481838,0.8137931034482758,2260.8498728073614
naive_last_value,naive_last_value,10,3045,369.5750410509031,706.6591200761961,27.512288461381026,16.681801538983784,120.65211822660099,184.78752052545155,104.56428571428572,136.66797482211274,0.8114942528735632,978.8875205254512
hist_gradient_boosting,hist_gradient_boosting,10,3045,400.44109643744883,799.3936495643035,27.50910687443153,18.0750271442235,89.6514414313999,200.22054821872442,106.72571705517235,132.19923556843224,0.7697865353037767,1237.9396370338268
seasonal_naive_12m,seasonal_naive_12m,10,3045,410.76781609195405,775.7843190526689,29.342286259388466,18.541152473832682,138.102118226601,205.38390804597702,115.62579638752052,153.03727422003283,0.8118226600985222,1094.149753694581
TCN,TCN,10,3045,519.475430073605,962.4583726444087,31.596502744902264,23.447974203627435,89.90572434966884,259.7377150368025,277.5162818881756,209.05324042488235,0.8853858784893268,3429.8021708024644
historical_seasonal_mean,historical_seasonal_mean,10,3045,647.5060340917977,1154.146649495627,41.39140473727895,29.22699304936583,133.41834417598457,323.75301704589884,247.0373094065212,234.7362235428015,0.8154351395730706,2224.668772903798
naive_last_value,naive_last_value,11,3045,383.98456486042693,731.6407067745231,28.569943972140518,17.062043409504774,120.86300492610836,191.99228243021346,114.5738752052545,142.47638752052546,0.8108374384236453,1038.2788177339908
