model,model_name,specialty_code,specialty_name,n_rows,mae,rmse,smape,wape,pinball_q10,pinball_q50,pinball_q90,pinball_mean,p10_p90_coverage,average_interval_width
naive_last_value,naive_last_value,320,Cardiology Service,1560,365.8532051282051,558.3653310769912,16.373664019211436,12.2876925001351,110.19260256410256,182.92660256410252,94.88057692307692,129.33326068376067,0.6955128205128205,824.6350000000001
hist_gradient_boosting,hist_gradient_boosting,320,Cardiology Service,1560,406.5155313706188,609.3467315233622,17.25603534013351,13.65339369996978,96.42789076432896,203.2577656853094,105.66964322707426,135.1184332255709,0.7423076923076923,1228.827437571797
seasonal_naive_12m,seasonal_naive_12m,320,Cardiology Service,1560,581.4564102564102,919.2259229568634,22.692715534751542,19.529028231307823,200.9905256410256,290.7282051282051,139.77365384615382,210.49746153846152,0.7006410256410256,1259.6097435897434
TCN,TCN,320,Cardiology Service,1560,634.1680409070773,933.3787679581249,23.330461141719823,21.29942220226981,101.56528998235862,317.08402045353864,338.4197053387225,252.35633859153992,0.9224358974358976,4207.469221542585
historical_seasonal_mean,historical_seasonal_mean,320,Cardiology Service,1560,1026.692988909239,1456.934209756878,42.0967740367293,34.48292255726024,130.45566044464795,513.3464944546195,253.99275635938133,299.2649704195495,0.8044871794871795,2286.667592439968
naive_last_value,naive_last_value,170,Cardiothoracic Surgery Service,456,37.67324561403509,67.53639369765172,26.3699390270827,15.442769432683404,18.22118421052632,18.836622807017545,37.94105263157895,24.99961988304093,0.9978070175438596,561.1179824561403
hist_gradient_boosting,hist_gradient_boosting,170,Cardiothoracic Surgery Service,456,37.78302564811045,67.24675593732889,27.22950463483903,15.487769743299234,7.713857185357152,18.891512824055223,12.298723538067538,12.968031182493306,0.8092105263157895,173.1234158947194
TCN,TCN,170,Cardiothoracic Surgery Service,456,40.37406185217071,66.12835098560986,29.639101237307028,16.549870288098887,10.013232610779898,20.18703092608536,19.172156952556808,16.45747349647402,0.8991228070175439,280.69993230491355
seasonal_naive_12m,seasonal_naive_12m,170,Cardiothoracic Surgery Service,456,59.79605263157895,127.09161462807816,36.63938031020945,24.51120519942828,22.405087719298248,29.898026315789476,63.5282894736842,38.61046783625731,0.986842105263158,837.1144736842105
historical_seasonal_mean,historical_seasonal_mean,170,Cardiothoracic Surgery Service,456,99.4022208298524,173.86917206996597,48.526473656286754,40.74630556386712,32.88381509328878,49.701110414926205,209.77255116959063,97.45249222593522,0.9451754385964912,2224.5710613338906
naive_last_value,naive_last_value,330,Dermatology Service,1380,502.06159420289856,759.869129178348,17.339865142102838,14.3942518144866,152.36335507246378,251.03079710144928,153.98373188405796,185.79262801932367,0.558695652173913,825.5795652173912
hist_gradient_boosting,hist_gradient_boosting,330,Dermatology Service,1380,549.8549682292938,911.5548469494064,18.071056712894656,15.764501737490775,135.5215646150447,274.9274841146469,123.82305217129334,178.0907003003283,0.7318840579710145,1648.194157195159
seasonal_naive_12m,seasonal_naive_12m,330,Dermatology Service,1380,623.7652173913043,922.1909631219384,21.92591699505059,17.883530060695836,177.5195144927536,311.8826086956521,183.63065217391303,224.34425845410627,0.6731884057971015,1262.0313768115943
TCN,TCN,330,Dermatology Service,1380,813.5487196618233,1275.3284472617042,26.16718126111614,23.32467822550256,147.38225785334905,406.7743598309117,419.39633307014674,324.51765025146915,0.8710144927536232,5236.995345734514
historical_seasonal_mean,historical_seasonal_mean,330,Dermatology Service,1380,1268.7704485852312,1870.188343694285,42.82293963503567,36.37601748986659,172.39216349206347,634.3852242926156,351.9400967908901,386.2391615251897,0.7108695652173913,2287.8064618127446
naive_last_value,naive_last_value,120,Ear Nose and Throat Service,1788,455.18568232662193,814.2588400582308,15.85156652458884,11.42991964092611,181.3995749440716,227.59284116331096,107.51331655480982,172.16857755406414,0.6571588366890381,783.5444630872483
hist_gradient_boosting,hist_gradient_boosting,120,Ear Nose and Throat Service,1788,537.5885430594053,988.6719735896394,17.119673352174487,13.499092975957112,109.06628291535466,268.79427152970266,126.3505134249037,168.07035595665369,0.8165548098434005,1675.8026476383716
seasonal_naive_12m,seasonal_naive_12m,120,Ear Nose and Throat Service,1788,738.238255033557,1275.438659023102,23.057147877749443,18.537498560502435,312.23842841163315,369.1191275167785,179.0267337807606,286.7947632363908,0.6482102908277405,1193.3378635346758
TCN,TCN,120,Ear Nose and Throat Service,1788,816.1234607680532,1256.7392940810878,23.324396635425117,20.49323152251485,129.38072921344366,408.0617303840266,485.3008541269323,340.9144379081342,0.9446308724832216,5999.374626785317
historical_seasonal_mean,historical_seasonal_mean,120,Ear Nose and Throat Service,1788,1324.223906066901,1877.453815991336,43.87890377258205,33.25186494349612,170.605804574589,662.1119530334505,332.5678232085152,388.4285269388516,0.7483221476510067,2281.91821606122
hist_gradient_boosting,hist_gradient_boosting,430,Elderly Medicine Service,1451,48.04566488624585,79.99486367338207,25.776899554023064,22.143391136813957,8.930496763131549,24.02283244312293,13.072075289273725,15.3418014985094,0.8587181254307374,161.77779257549878
naive_last_value,naive_last_value,430,Elderly Medicine Service,1451,48.88904203997243,79.8616222245819,27.928008263988804,22.53208864438381,18.3520744314266,24.44452101998621,35.61446588559614,26.13702044566965,0.994486560992419,538.118883528601
TCN,TCN,430,Elderly Medicine Service,1451,55.95226333980968,86.975820894609,29.64538510634371,25.787401528459345,9.508585439296857,27.97613166990484,20.57779345653699,19.35417018857956,0.8862853204686423,278.24105579289466
seasonal_naive_12m,seasonal_naive_12m,430,Elderly Medicine Service,1451,68.92074431426602,118.730866281084,34.56664707766101,31.764343409638823,20.847842866988284,34.46037215713301,60.756926257753264,38.68838042729152,0.9951757408683668,809.7692625775327
historical_seasonal_mean,historical_seasonal_mean,430,Elderly Medicine Service,1451,91.11310754487874,160.7610287115413,45.67797927685171,41.99240832307462,20.01829490335073,45.55655377243937,207.46517224027215,91.01334030535408,0.9703652653342524,2237.126900112676
naive_last_value,naive_last_value,301,Gastroenterology Service,2316,282.8791018998273,521.2628166356282,23.24769847321792,14.462926317109376,82.64709412780657,141.43955094991364,95.97809585492227,106.68824697754752,0.772020725388601,711.9280656303972
hist_gradient_boosting,hist_gradient_boosting,301,Gastroenterology Service,2316,285.36006218112965,537.9446535759807,22.63201782123217,14.589771833455991,71.98877566555284,142.68003109056482,77.82989577231864,97.49956750947877,0.7974956822107081,885.3630350783792
TCN,TCN,301,Gastroenterology Service,2316,394.6307460788206,676.3051881473978,27.98724598917717,20.176518394861912,67.3744701680433,197.3153730394103,217.6278471784888,160.7725634619808,0.915371329879102,2720.21693533659
seasonal_naive_12m,seasonal_naive_12m,301,Gastroenterology Service,2316,411.3911917098446,742.6390509062362,32.24892247149888,21.033439562157103,133.2098445595855,205.6955958549223,127.25798791018995,155.3878094415659,0.7944732297063903,1087.0518134715023
historical_seasonal_mean,historical_seasonal_mean,301,Gastroenterology Service,2316,656.9287982838501,1252.1440847126655,45.33833214092656,33.587185272283044,98.77666309592348,328.46439914192507,262.25049174822493,229.83051799535775,0.8229706390328152,2263.928115593388
naive_last_value,naive_last_value,300,General Internal Medicine Service,1136,108.81073943661973,318.8177061480763,45.273230966769184,27.99268982009892,41.6843485915493,54.405369718309856,47.13826584507042,47.74266138497652,0.9551056338028168,547.3625880281692
hist_gradient_boosting,hist_gradient_boosting,300,General Internal Medicine Service,1136,110.79735935197372,320.54698095416967,42.36092228483707,28.50376837143372,31.735607188910134,55.39867967598686,29.746423245534363,38.96023670347712,0.7992957746478874,335.6533994158524
TCN,TCN,300,General Internal Medicine Service,1136,132.73504603643653,351.344525675203,46.331779947713336,34.147465509310265,30.5670225346907,66.36752301821826,32.356615082310945,43.0970535450733,0.8107394366197183,489.6638259080724
seasonal_naive_12m,seasonal_naive_12m,300,General Internal Medicine Service,1136,168.15404929577466,401.8306447714818,56.61309192519848,43.2593709803069,47.88206866197184,84.07702464788733,78.9519982394366,70.30369718309859,0.9515845070422536,853.6566901408451
historical_seasonal_mean,historical_seasonal_mean,300,General Internal Medicine Service,1136,308.1634312821373,614.280037223294,83.79997587668137,79.27823476287388,106.1599317641963,154.08171564106866,237.19454993852003,165.81206578126165,0.6883802816901409,2255.031695939527
naive_last_value,naive_last_value,100,General Surgery Service,3010,197.1126245847176,527.4900861911059,22.35920028586549,12.85740909691778,74.94511295681063,98.5563122923588,57.89823588039867,77.1332203765227,0.8691029900332226,682.3680398671097
hist_gradient_boosting,hist_gradient_boosting,100,General Surgery Service,3010,215.42083292910783,615.4231726456362,21.939555551429045,14.05163054778308,51.55660135452875,107.71041646455392,50.24909005879742,69.83870262596004,0.813953488372093,660.7776255464668
TCN,TCN,100,General Surgery Service,3010,257.17208927049984,661.0293313645801,22.180795897305867,16.775012595089958,66.68846564814895,128.58604463524992,145.87882463261928,113.71777830533938,0.9209302325581395,1974.1521615540864
seasonal_naive_12m,seasonal_naive_12m,100,General Surgery Service,3010,299.8528239202658,674.6307017331261,29.6097910813028,19.55902334582287,110.48718272425248,149.9264119601329,92.96432225913618,117.79263898117388,0.8667774086378738,1035.3991029900333
historical_seasonal_mean,historical_seasonal_mean,100,General Surgery Service,3010,488.4808382112535,919.8910277513396,41.10393570514051,31.86299196268901,172.416462824975,244.2404191056268,230.21691878922115,215.62460023994092,0.812624584717608,2263.302679982071
naive_last_value,naive_last_value,502,Gynaecology Service,2148,338.7844506517691,605.9345072654074,18.69789888173137,10.601223386735043,98.08627094972069,169.39222532588454,101.6171368715084,123.03187771570454,0.7360335195530726,770.7393854748603
hist_gradient_boosting,hist_gradient_boosting,502,Gynaecology Service,2148,378.1705896804112,733.4178190690936,18.63279192222142,11.833692165571714,79.45048818583182,189.0852948402056,97.09536769200314,121.87705023934686,0.7942271880819367,1279.1466523081076
seasonal_naive_12m,seasonal_naive_12m,502,Gynaecology Service,2148,455.02188081936686,736.3032805506986,23.797542736215515,14.238518311977456,128.99691806331472,227.51094040968343,130.50260707635007,162.33682184978275,0.7630353817504656,1166.650744878957
TCN,TCN,502,Gynaecology Service,2148,465.2709509744769,803.4205481034074,20.69583744527618,14.559231621019856,110.65213984732743,232.63547548723844,322.9058174760204,222.0644776035288,0.9492551210428304,4286.841599182044
historical_seasonal_mean,historical_seasonal_mean,502,Gynaecology Service,2148,1139.3622716591294,1725.1319165536606,45.2844473743276,35.65285814339736,132.45793312346663,569.6811358295647,317.3277089429813,339.8222592986709,0.8161080074487895,2280.448294241968
naive_last_value,naive_last_value,400,Neurology Service,1126,288.0799289520426,442.5676695104544,18.65164567469824,12.6350255444258,73.22802841918295,144.0399644760213,77.83904085257547,98.36901124925993,0.7841918294849023,813.4291296625222
hist_gradient_boosting,hist_gradient_boosting,400,Neurology Service,1126,311.1776372605956,479.90346952982463,18.82869656337257,13.648078191161373,86.12657342661184,155.5888186302978,69.57594666734039,103.76377957475002,0.7717584369449378,1028.1511103597388
seasonal_naive_12m,seasonal_naive_12m,400,Neurology Service,1126,443.2229129662522,654.8109980457217,27.13765654725889,19.439510581577785,124.63631438721136,221.6114564831261,113.02,153.08925695677914,0.7628774422735346,1236.564920071048
TCN,TCN,400,Neurology Service,1126,449.3102616124636,681.5002078236357,25.397148604886016,19.706498309332712,89.61348525596183,224.6551308062318,258.74471820573814,191.0044447559773,0.9014209591474244,3351.171662485541
historical_seasonal_mean,historical_seasonal_mean,400,Neurology Service,1126,782.0294813781048,1258.9553208827836,41.24229071972064,34.29937833451536,109.863483330514,391.0147406890524,238.4089627914517,246.42906227033936,0.822380106571936,2284.132396317912
hist_gradient_boosting,hist_gradient_boosting,150,Neurosurgical Service,564,113.35209794158136,249.22631548620927,21.57761637249367,10.1822018136118,21.359999655762127,56.676048970790674,34.16077529149974,37.39894130601751,0.8953900709219859,457.1459830163829
naive_last_value,naive_last_value,150,Neurosurgical Service,564,114.854609929078,251.22981906178177,23.457200089877382,10.317169587141205,33.84274822695036,57.427304964539005,48.28586879432624,46.51864066193853,0.9273049645390072,636.5698581560284
TCN,TCN,150,Neurosurgical Service,564,138.65473210388888,299.3891403462724,27.82948472383613,12.455088969078329,43.77534001835273,69.32736605194444,88.07182367439809,67.05817658156508,0.9113475177304964,1304.9959394980408
seasonal_naive_12m,seasonal_naive_12m,150,Neurosurgical Service,564,180.6489361702128,408.3500315011012,30.99507101379367,16.227347873590862,66.45991134751773,90.3244680851064,74.20195035460992,76.99544326241134,0.9343971631205674,968.6735815602838
historical_seasonal_mean,historical_seasonal_mean,150,Neurosurgical Service,564,353.38007781717886,668.6660684916194,45.88143711353754,31.743455432988707,60.72146223122819,176.69003890858943,194.04863158561295,143.8200442418102,0.9060283687943262,2230.1037680119334
naive_last_value,naive_last_value,130,Ophthalmology Service,2508,296.7575757575757,509.43283893401497,22.4813975259602,11.201341750578754,82.79133971291868,148.37878787878788,86.02496411483253,105.73169723551302,0.7476076555023924,722.9692583732058
hist_gradient_boosting,hist_gradient_boosting,130,Ophthalmology Service,2508,376.157366358573,853.8958120902197,22.70479412136348,14.198347596767189,86.1096046802926,188.0786831792865,118.27973311395412,130.8226736578444,0.7783094098883573,1155.2457813972485
TCN,TCN,130,Ophthalmology Service,2508,403.3785729615502,750.4418810478103,23.743088594617944,15.225832867344224,98.10992122302024,201.6892864807751,279.0884618471303,192.9625565169752,0.9298245614035088,3718.492132189456
seasonal_naive_12m,seasonal_naive_12m,130,Ophthalmology Service,2508,427.6782296650718,697.099583235687,29.2359830311238,16.14304200164528,127.64651116427432,213.8391148325359,114.59956140350876,152.02839580010632,0.7547846889952153,1082.6879984051036
