model,model_name,trust_size_group,n_rows,mae,rmse,smape,wape,pinball_q10,pinball_q50,pinball_q90,pinball_mean,p10_p90_coverage,average_interval_width
naive_last_value,naive_last_value,large,26429,344.6660486586704,644.1789694972335,17.52569366568804,11.52890574254914,110.52948238677212,172.3330243293352,97.52511218736991,126.79587296782576,0.7379015475424723,792.4866548110031
hist_gradient_boosting,hist_gradient_boosting,large,26429,391.3722841946803,779.3467529096554,18.015419781890778,13.091205798442422,95.52093574430624,195.6861420973401,104.75008066397788,131.98571950187474,0.7834575655529911,1302.2029699640127
TCN,TCN,large,26429,513.2829593971172,900.9595224989991,22.45143538907692,17.169056485764717,114.72575330566744,256.6414796985586,313.0241233905898,228.1304521316053,0.9303416701350788,4092.715721700749
seasonal_naive_12m,seasonal_naive_12m,large,26429,519.1914941919861,895.6037843599787,24.205285160899177,17.366693998921907,170.94611941427976,259.59574709599303,143.04858261757917,191.19681637595065,0.7478905747474365,1207.8137954519657
historical_seasonal_mean,historical_seasonal_mean,large,26429,902.0643963431224,1437.3080506581246,39.43195224402431,30.17359974857428,171.49117873554005,451.0321981715612,279.5025006636529,300.67529252358474,0.7504256687729388,2283.8372285194177
naive_last_value,naive_last_value,medium,7667,124.39702621625146,339.84388462774064,27.56552540214233,16.225346668796586,39.36720751271684,62.19851310812573,56.65071475153255,52.7388117907917,0.9398721794704578,635.328172688144
hist_gradient_boosting,hist_gradient_boosting,medium,7667,133.48349095181484,369.3127127595954,27.40901732194499,17.410511980321132,30.22615174060064,66.74174547590742,35.469106732927344,44.145667983145145,0.8184426764053737,444.4996368600902
TCN,TCN,medium,7667,160.90121148844435,488.1520057174294,29.95252408333396,20.986658726800837,34.24609936457081,80.45060574422219,70.16248281966975,61.619729309487575,0.8957871396895787,960.5570254361458
seasonal_naive_12m,seasonal_naive_12m,medium,7667,179.5609756097561,492.6246081602287,36.02553804347945,23.420488142464965,50.84880787791836,89.78048780487805,90.11053867223164,76.91327811834269,0.9458719186122344,953.1254858484414
historical_seasonal_mean,historical_seasonal_mean,medium,7667,257.86300435177765,618.6488463340146,48.62990631510073,33.63357441834409,48.27690907538182,128.93150217588882,214.7220972638871,130.64350283838593,0.9226555367157948,2255.9633439539903
hist_gradient_boosting,hist_gradient_boosting,small,3306,56.68959102461879,110.04231425573934,34.59825718419099,29.050450821821304,13.031323748759952,28.3447955123094,13.258657161094138,18.21159214072116,0.8242589231699939,181.0478332275498
TCN,TCN,small,3306,57.29926503591658,97.57254243144268,36.92575288009758,29.362876869750583,11.0062777781912,28.64963251795829,19.98443439155366,19.88011489590105,0.8496672716273442,260.7471300579531
naive_last_value,naive_last_value,small,3306,57.84906231094979,115.57805087437728,36.29714169654107,29.644619221594105,18.25226557773745,28.92453115547489,36.814600725952815,27.997132486388384,0.9869933454325468,528.2645493042952
seasonal_naive_12m,seasonal_naive_12m,small,3306,75.34180278281912,134.4228729492486,46.00983856886089,38.60873393175734,19.30575317604356,37.67090139140956,60.15333333333332,39.043329300262144,0.9900181488203268,785.6816091954023
historical_seasonal_mean,historical_seasonal_mean,small,3306,95.09270578265588,152.0621706623251,55.10344425821484,48.73003884704852,22.45204308904445,47.546352891327935,209.8227564601158,93.27371748016274,0.9358741681790684,2223.521498213926
