trust_code,trust_name,specialty_code,specialty_name,is_surgical_specialty,specialty_inclusion_criteria,total_months,part2a_available_months,latest_part2a_value,latest_total_incomplete_value,part2a_coverage_pct,eligible_for_capacity_simulation
RCF,AIREDALE NHS FOUNDATION TRUST,120,Ear Nose and Throat Service,True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",62,62,57.0,1278.0,100.0,True
RCF,AIREDALE NHS FOUNDATION TRUST,120,"Ear, Nose & Throat (ENT)",True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",42,42,31.0,425.0,100.0,True
RCF,AIREDALE NHS FOUNDATION TRUST,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,62,62,600.0,1656.0,100.0,True
RCF,AIREDALE NHS FOUNDATION TRUST,502,Gynaecology Service,True,Included: Gynaecology treatment function has admitted operative pathways.,62,62,290.0,1722.0,100.0,True
RCF,AIREDALE NHS FOUNDATION TRUST,130,Ophthalmology Service,True,Included: Ophthalmology treatment function commonly includes operative pathways.,62,62,78.0,550.0,100.0,True
RCF,AIREDALE NHS FOUNDATION TRUST,140,Oral Surgery Service,True,Included: Oral Surgery treatment function.,62,62,131.0,440.0,100.0,True
RCF,AIREDALE NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,62,62,878.0,1422.0,100.0,True
RCF,AIREDALE NHS FOUNDATION TRUST,101,Urology Service,True,Included: Urology treatment function commonly includes operative admitted pathways.,62,62,302.0,936.0,100.0,True
NT401,ALEXANDRA HOSPITAL,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,52,52,70.0,206.0,100.0,True
NT401,ALEXANDRA HOSPITAL,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,52,52,96.0,374.0,100.0,True
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,120,"Ear, Nose & Throat (ENT)",True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",42,42,364.0,2425.0,100.0,True
NVC01,ASHTEAD HOSPITAL,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,62,62,47.0,264.0,100.0,True
NVC01,ASHTEAD HOSPITAL,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,62,62,58.0,474.0,100.0,True
NYW04,ASPEN - CLAREMONT HOSPITAL,120,Ear Nose and Throat Service,True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",21,21,22.0,59.0,100.0,True
NYW04,ASPEN - CLAREMONT HOSPITAL,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,21,21,126.0,252.0,100.0,True
NYW04,ASPEN - CLAREMONT HOSPITAL,502,Gynaecology Service,True,Included: Gynaecology treatment function has admitted operative pathways.,21,21,35.0,76.0,100.0,True
NYW04,ASPEN - CLAREMONT HOSPITAL,150,Neurosurgical Service,True,Included: Neurosurgery treatment function.,21,21,297.0,540.0,100.0,True
NYW04,ASPEN - CLAREMONT HOSPITAL,130,Ophthalmology Service,True,Included: Ophthalmology treatment function commonly includes operative pathways.,21,21,3.0,17.0,100.0,True
NYW04,ASPEN - CLAREMONT HOSPITAL,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,21,21,303.0,663.0,100.0,True
NYW04,ASPEN - CLAREMONT HOSPITAL,101,Urology Service,True,Included: Urology treatment function commonly includes operative admitted pathways.,21,21,12.0,30.0,100.0,True
NYW03,ASPEN - HIGHGATE HOSPITAL,120,Ear Nose and Throat Service,True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",17,17,15.0,62.0,100.0,True
NYW03,ASPEN - HIGHGATE HOSPITAL,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,17,17,33.0,100.0,100.0,True
NYW03,ASPEN - HIGHGATE HOSPITAL,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,17,17,32.0,236.0,100.0,True
NYW02,ASPEN - PARKSIDE HOSPITAL,120,Ear Nose and Throat Service,True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",17,17,17.0,99.0,100.0,True
NYW02,ASPEN - PARKSIDE HOSPITAL,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,17,17,6.0,27.0,100.0,True
NYW02,ASPEN - PARKSIDE HOSPITAL,160,Plastic Surgery Service,True,Included: Plastic Surgery treatment function.,17,17,19.0,143.0,100.0,True
NYW02,ASPEN - PARKSIDE HOSPITAL,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,17,17,26.0,237.0,100.0,True
NYW02,ASPEN - PARKSIDE HOSPITAL,101,Urology Service,True,Included: Urology treatment function commonly includes operative admitted pathways.,17,17,12.0,182.0,100.0,True
NYW17,ASPEN HEALTHCARE - MIDLAND EYE,130,Ophthalmology Service,True,Included: Ophthalmology treatment function commonly includes operative pathways.,46,46,79.0,800.0,100.0,True
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",120,ENT,True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",12,12,505.0,3236.0,100.0,True
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",120,"Ear, Nose & Throat (ENT)",True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",42,42,215.0,3053.0,100.0,True
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",100,General Surgery,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,54,54,854.0,4642.0,100.0,True
