context_id,status,reason,nsamples,explained_horizons,row_index,elapsed_seconds
1426,explained,,354,"1,6,12",0,4.81
1301,explained,,354,"1,6,12",1,4.188
1509,explained,,354,"1,6,12",2,4.169
2606,explained,,354,"1,6,12",3,4.205
1398,explained,,354,"1,6,12",4,4.14
1549,explained,,354,"1,6,12",5,4.116
1303,explained,,354,"1,6,12",6,4.199
1517,explained,,354,"1,6,12",7,4.408
2594,explained,,354,"1,6,12",8,4.185
1401,explained,,354,"1,6,12",9,4.125
1540,explained,,354,"1,6,12",10,4.109
2239,explained,,354,"1,6,12",11,4.127
3027,explained,,354,"1,6,12",12,4.163
3113,explained,,354,"1,6,12",13,4.145
3777,explained,,354,"1,6,12",14,4.174
2832,explained,,354,"1,6,12",15,4.224
1289,explained,,354,"1,6,12",16,4.243
2501,explained,,354,"1,6,12",17,4.239
1300,explained,,354,"1,6,12",18,4.251
3753,explained,,354,"1,6,12",19,4.256
1508,explained,,354,"1,6,12",20,4.215
1275,explained,,354,"1,6,12",21,4.199
1286,explained,,354,"1,6,12",22,4.356
1522,explained,,354,"1,6,12",23,4.386
1523,explained,,354,"1,6,12",24,4.233
1680,explained,,354,"1,6,12",25,4.222
1516,explained,,354,"1,6,12",26,4.221
3657,explained,,354,"1,6,12",27,4.228
3152,explained,,354,"1,6,12",28,4.208
1507,explained,,354,"1,6,12",29,4.249
3012,explained,,354,"1,6,12",30,4.363
1304,explained,,354,"1,6,12",31,4.559
1933,explained,,354,"1,6,12",32,4.355
1848,explained,,354,"1,6,12",33,4.396
1287,explained,,354,"1,6,12",34,4.376
2602,explained,,354,"1,6,12",35,4.363
3455,explained,,354,"1,6,12",36,4.406
3393,explained,,354,"1,6,12",37,4.327
1397,explained,,354,"1,6,12",38,4.416
2242,explained,,354,"1,6,12",39,4.395
2182,explained,,354,"1,6,12",40,4.393
1288,explained,,354,"1,6,12",41,4.212
1786,explained,,354,"1,6,12",42,4.215
1515,explained,,354,"1,6,12",43,4.246
2595,explained,,354,"1,6,12",44,4.245
2404,explained,,354,"1,6,12",45,4.259
2877,explained,,354,"1,6,12",46,4.205
2604,explained,,354,"1,6,12",47,4.182
3550,explained,,354,"1,6,12",48,4.291
2974,explained,,354,"1,6,12",49,4.195
1851,explained,,354,"1,6,12",50,4.21
3128,explained,,354,"1,6,12",51,4.21
3761,explained,,354,"1,6,12",52,4.211
2815,explained,,354,"1,6,12",53,4.228
1546,explained,,354,"1,6,12",54,4.247
1293,explained,,354,"1,6,12",55,4.319
1530,explained,,354,"1,6,12",56,4.953
1294,explained,,354,"1,6,12",57,4.789
1505,explained,,354,"1,6,12",58,4.948
1506,explained,,354,"1,6,12",59,4.676
3072,explained,,354,"1,6,12",60,4.612
1531,explained,,354,"1,6,12",61,4.721
3005,explained,,354,"1,6,12",62,4.811
3115,explained,,354,"1,6,12",63,4.455
3379,explained,,354,"1,6,12",64,4.425
1852,explained,,354,"1,6,12",65,4.471
2232,explained,,354,"1,6,12",66,4.49
3048,explained,,354,"1,6,12",67,4.485
1391,explained,,354,"1,6,12",68,4.609
2102,explained,,354,"1,6,12",69,4.568
2973,explained,,354,"1,6,12",70,4.627
1875,explained,,354,"1,6,12",71,4.709
2123,explained,,354,"1,6,12",72,4.623
3057,explained,,354,"1,6,12",73,4.707
1850,explained,,354,"1,6,12",74,4.682
1668,explained,,354,"1,6,12",75,4.685
166,explained,,354,"1,6,12",76,4.603
3129,explained,,354,"1,6,12",77,4.609
2573,explained,,354,"1,6,12",78,4.637
2421,explained,,354,"1,6,12",79,4.621
1864,explained,,354,"1,6,12",80,4.578
2405,explained,,354,"1,6,12",81,4.622
3075,explained,,354,"1,6,12",82,4.588
3058,explained,,354,"1,6,12",83,4.584
2166,explained,,354,"1,6,12",84,4.598
1929,explained,,354,"1,6,12",85,4.611
3013,explained,,354,"1,6,12",86,4.606
2125,explained,,354,"1,6,12",87,4.572
2574,explained,,354,"1,6,12",88,4.597
1917,explained,,354,"1,6,12",89,4.598
1420,explained,,354,"1,6,12",90,4.531
2609,explained,,354,"1,6,12",91,4.597
1883,explained,,354,"1,6,12",92,4.596
3377,explained,,354,"1,6,12",93,4.615
2299,explained,,354,"1,6,12",94,4.63
2515,explained,,354,"1,6,12",95,4.621
1461,explained,,354,"1,6,12",96,4.537
1937,explained,,354,"1,6,12",97,4.639
3066,explained,,354,"1,6,12",98,4.561
1400,explained,,354,"1,6,12",99,4.598
