context_id,series_id,trust_code,trust_name,specialty_code,specialty_name,trust_idx,specialty_idx,forecast_start_idx,forecast_origin,forecast_month_h1,p50_h1,forecast_month_h6,p50_h6,forecast_month_h12,p50_h12
1426,RA2__110,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,313,2,116,2025-05-01,2025-06-01,5829.991342699727,2025-11-01,6211.897357930353,2026-05-01,6498.787760771415
1301,R0A__X02,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X02,Other - Medical Services,301,19,116,2025-05-01,2025-06-01,28997.09199173049,2025-11-01,31032.692577692134,2026-05-01,32327.459870791132
1509,RAJ__130,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,130,Ophthalmology Service,319,4,116,2025-05-01,2025-06-01,18213.178294004156,2025-11-01,18889.160296166512,2026-05-01,19581.93620297675
2606,RM3__400,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,400,Neurology Service,395,14,116,2025-05-01,2025-06-01,18016.21116816679,2025-11-01,19535.526035098832,2026-05-01,20637.62000835209
1398,R1H__X02,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,310,19,116,2025-05-01,2025-06-01,19132.96878333746,2025-11-01,20401.97831187162,2026-05-01,21524.500063740277
1549,RAL__X05,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X05,Other - Surgical Services,320,22,116,2025-05-01,2025-06-01,13791.712300836733,2025-11-01,14931.861629579786,2026-05-01,15844.335646479798
1303,R0A__X04,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X04,Other - Paediatric Services,301,21,116,2025-05-01,2025-06-01,22857.51232127999,2025-11-01,24680.484642353415,2026-05-01,25940.616755262152
1517,RAJ__330,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,330,Dermatology Service,319,12,116,2025-05-01,2025-06-01,16911.082342281512,2025-11-01,18282.408959192915,2026-05-01,19418.055127627762
2594,RM3__110,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,395,2,116,2025-05-01,2025-06-01,15422.714383682563,2025-11-01,16607.38240881215,2026-05-01,17443.869630709472
1401,R1H__X05,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,310,22,116,2025-05-01,2025-06-01,12041.499765489005,2025-11-01,13308.000213813071,2026-05-01,14301.172571543846
1540,RAL__330,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,330,Dermatology Service,320,12,116,2025-05-01,2025-06-01,12966.190653941874,2025-11-01,14103.481406824178,2026-05-01,15091.871210952353
2239,RJ1__X02,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,X02,Other - Medical Services,373,19,116,2025-05-01,2025-06-01,19552.76776074214,2025-11-01,20003.17058767532,2026-05-01,20701.84538920578
3027,RRK__X02,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,X02,Other - Medical Services,427,19,116,2025-05-01,2025-06-01,14376.168158928116,2025-11-01,15408.320796928196,2026-05-01,16204.711957951979
3113,RTG__110,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,435,2,116,2025-05-01,2025-06-01,16562.413156692786,2025-11-01,17101.98559876256,2026-05-01,17713.07822936754
3777,RYR__X05,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,X05,Other - Surgical Services,487,22,116,2025-05-01,2025-06-01,11811.7869811916,2025-11-01,12892.474187181691,2026-05-01,13742.709739946571
2832,RP6__130,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,410,4,116,2025-05-01,2025-06-01,33185.66860784558,2025-11-01,35260.38946309518,2026-05-01,37276.38495794556
1289,R0A__140,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,140,Oral Surgery Service,301,5,116,2025-05-01,2025-06-01,19122.260454624895,2025-11-01,20944.545596338325,2026-05-01,22215.249379637644
2501,RL1__110,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,389,2,116,2025-05-01,2025-06-01,18578.958016284654,2025-11-01,19593.70545647053,2026-05-01,20352.498855975988
1300,R0A__502,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,502,Gynaecology Service,301,17,116,2025-05-01,2025-06-01,17347.14666429362,2025-11-01,18864.0639870295,2026-05-01,19965.18531272726
3753,RYJ__X02,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,X02,Other - Medical Services,485,19,116,2025-05-01,2025-06-01,16533.909950080146,2025-11-01,17697.71184822395,2026-05-01,18690.65779008779
1508,RAJ__120,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,120,Ear Nose and Throat Service,319,3,116,2025-05-01,2025-06-01,17303.161109716624,2025-11-01,17735.39164014946,2026-05-01,18205.91891631846
1275,NYG__330,NYG,SUSSEX COMMUNITY DERMATOLOGY SERVICE,330,Dermatology Service,287,12,116,2025-05-01,2025-06-01,16642.296506628438,2025-11-01,17569.058846867327,2026-05-01,17664.188568571328
1286,R0A__110,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,301,2,116,2025-05-01,2025-06-01,15952.111571797295,2025-11-01,16889.2582862038,2026-05-01,17658.579462671736
1522,RAJ__502,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,502,Gynaecology Service,319,17,116,2025-05-01,2025-06-01,16177.148301810495,2025-11-01,16892.818486389147,2026-05-01,17646.053840267945
1523,RAJ__X02,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,X02,Other - Medical Services,319,19,116,2025-05-01,2025-06-01,16219.416302635655,2025-11-01,16847.076380741935,2026-05-01,17588.037009940148
1680,RBS__X04,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,X04,Other - Paediatric Services,332,21,116,2025-05-01,2025-06-01,15244.869084889004,2025-11-01,16363.137486399513,2026-05-01,17360.138945220766
1516,RAJ__320,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,320,Cardiology Service,319,11,116,2025-05-01,2025-06-01,14343.62738124279,2025-11-01,15560.81588211864,2026-05-01,16551.201720581073
3657,RXP__110,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,473,2,116,2025-05-01,2025-06-01,13660.239745345769,2025-11-01,15139.329676324429,2026-05-01,16246.339202779687
3152,RTH__X02,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,X02,Other - Medical Services,436,19,116,2025-05-01,2025-06-01,14255.539178434436,2025-11-01,15163.693316994631,2026-05-01,15989.688876329745
1507,RAJ__110,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,319,2,116,2025-05-01,2025-06-01,15515.084180092379,2025-11-01,15679.81772381871,2026-05-01,15918.49351440065
3012,RRK__120,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,120,Ear Nose and Throat Service,427,3,116,2025-05-01,2025-06-01,13526.252892378787,2025-11-01,14716.677758052883,2026-05-01,15669.338197545763
1304,R0A__X05,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X05,Other - Surgical Services,301,22,116,2025-05-01,2025-06-01,12996.548735746353,2025-11-01,14410.18453197497,2026-05-01,15391.738536020377
1933,REP__502,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,502,Gynaecology Service,356,17,116,2025-05-01,2025-06-01,13198.259291726003,2025-11-01,14279.324973162333,2026-05-01,15255.195692194682
1848,RDE__100,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,100,General Surgery Service,347,0,116,2025-05-01,2025-06-01,13135.820925073862,2025-11-01,14238.038158482022,2026-05-01,15247.195597387716
1287,R0A__120,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,120,Ear Nose and Throat Service,301,3,116,2025-05-01,2025-06-01,12462.386875346278,2025-11-01,13606.707092533617,2026-05-01,14455.499481829243
2602,RM3__301,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,301,Gastroenterology Service,395,10,116,2025-05-01,2025-06-01,12390.89627546684,2025-11-01,13437.069659463998,2026-05-01,14323.21752148603
3455,RWH__X06,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,X06,Other - Other Services,457,23,116,2025-05-01,2025-06-01,12885.627036358164,2025-11-01,13642.324460733082,2026-05-01,14272.46275776768
3393,RWE__X02,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,X02,Other - Medical Services,454,19,116,2025-05-01,2025-06-01,12494.639627733459,2025-11-01,13305.132028834798,2026-05-01,14185.569190529117
1397,R1H__502,R1H,BARTS HEALTH NHS TRUST,502,Gynaecology Service,310,17,116,2025-05-01,2025-06-01,11803.183234564453,2025-11-01,13065.712665802672,2026-05-01,14123.874524154582
2242,RJ1__X05,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,X05,Other - Surgical Services,373,22,116,2025-05-01,2025-06-01,12124.103556733791,2025-11-01,13069.439152171148,2026-05-01,13954.815482019983
2182,RHQ__X02,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,X02,Other - Medical Services,370,19,116,2025-05-01,2025-06-01,12332.971068316205,2025-11-01,13154.626745911355,2026-05-01,13857.215207109333
1288,R0A__130,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,130,Ophthalmology Service,301,4,116,2025-05-01,2025-06-01,12082.56974274722,2025-11-01,13050.879577872982,2026-05-01,13839.701570161646
1786,RCU__X04,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,X04,Other - Paediatric Services,341,21,116,2025-05-01,2025-06-01,11856.878703213444,2025-11-01,12866.359002112178,2026-05-01,13645.005049389032
1515,RAJ__301,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,301,Gastroenterology Service,319,10,116,2025-05-01,2025-06-01,12506.29966613637,2025-11-01,13032.619810889875,2026-05-01,13535.82852045456
2595,RM3__120,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,120,Ear Nose and Throat Service,395,3,116,2025-05-01,2025-06-01,11584.334476010761,2025-11-01,12672.282545190457,2026-05-01,13525.981982624819
2404,RJZ__130,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,383,4,116,2025-05-01,2025-06-01,12267.381436772033,2025-11-01,12825.584955352027,2026-05-01,13360.12839429426
2877,RQ3__X04,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,X04,Other - Paediatric Services,416,21,116,2025-05-01,2025-06-01,11963.93086069038,2025-11-01,12646.97520524884,2026-05-01,13287.619065562432
