feature_name,display_name,raw_column,feature_group,lag,feature_kind,mean_abs_shap
closing_waiting_list__lag_00,closing_waiting_list,closing_waiting_list,waiting-list lags,0,raw_encoder_feature,3563.6765816732845
total_waiting__lag_00,total_waiting,waiting_list,waiting-list lags,0,raw_encoder_feature,3324.1110456785805
opening_waiting_list__lag_00,opening_waiting_list,opening_waiting_list,waiting-list lags,0,raw_encoder_feature,2638.713381860882
new_rtt_periods__lag_00,new_rtt_periods,new_rtt_periods,referral or new RTT-period features,0,raw_encoder_feature,980.3265972330111
incomplete_total__lag_00,incomplete_total,incomplete_total,waiting-list lags,0,raw_encoder_feature,613.9978511654573
time_index__lag_00,time_index,time_idx,calendar features,0,raw_encoder_feature,292.6328052941051
waiting_list_with_dta__lag_00,waiting_list_with_dta,waiting_list_with_dta,waiting-list lags,0,raw_encoder_feature,252.2600924499471
trust_identifier_embedding,trust_identifier_embedding,trust_idx,trust and specialty identifiers or embeddings,0,trust_identifier,204.6641520325621
new_rtt_periods_lag6__lag_00,new_rtt_periods_lag6,new_rtt_periods_lag6,referral or new RTT-period features,0,raw_encoder_feature,53.065139142178
specialty_identifier_embedding,specialty_identifier_embedding,specialty_idx,trust and specialty identifiers or embeddings,0,specialty_identifier,46.69760540007575
reported_net_inflow_lag1__lag_00,reported_net_inflow_lag1,reported_net_inflow_lag1,referral or new RTT-period features,0,raw_encoder_feature,45.39624910348558
new_rtt_periods_missing__lag_00,new_rtt_periods_missing,new_rtt_periods_missing,referral or new RTT-period features,0,raw_encoder_feature,41.024182666477984
unreported_removals__lag_00,unreported_removals,unreported_removals,unreported-removal features,0,raw_encoder_feature,40.39298628687644
unreported_removals_missing__lag_00,unreported_removals_missing,unreported_removals_missing,unreported-removal features,0,raw_encoder_feature,39.5920386800641
completed_total_lag1_missing__lag_00,completed_total_lag1_missing,completed_total_lag1_missing,completed-pathway features,0,raw_encoder_feature,38.792743428918214
opening_waiting_list_missing__lag_00,opening_waiting_list_missing,opening_waiting_list_missing,waiting-list lags,0,raw_encoder_feature,38.51879831055106
new_rtt_periods_lag1_missing__lag_00,new_rtt_periods_lag1_missing,new_rtt_periods_lag1_missing,referral or new RTT-period features,0,raw_encoder_feature,37.95977712163694
net_inflow__lag_00,net_inflow,net_inflow,referral or new RTT-period features,0,raw_encoder_feature,37.265163804959414
unreported_removals_lag6_missing__lag_00,unreported_removals_lag6_missing,unreported_removals_lag6_missing,unreported-removal features,0,raw_encoder_feature,31.973017441674724
reported_net_inflow_lag3_missing__lag_00,reported_net_inflow_lag3_missing,reported_net_inflow_lag3_missing,referral or new RTT-period features,0,raw_encoder_feature,25.785335643613994
completed_non_admitted__lag_01,completed_non_admitted,completed_non_admitted,completed-pathway features,1,raw_encoder_feature,22.586491472775055
completed_admitted_missing__lag_02,completed_admitted_missing,completed_admitted_missing,completed-pathway features,2,raw_encoder_feature,22.00530861698037
closing_waiting_list_missing__lag_00,closing_waiting_list_missing,closing_waiting_list_missing,waiting-list lags,0,raw_encoder_feature,20.884261324944937
unreported_removals_lag1_missing__lag_00,unreported_removals_lag1_missing,unreported_removals_lag1_missing,unreported-removal features,0,raw_encoder_feature,20.435794626414857
incomplete_total__lag_02,incomplete_total,incomplete_total,waiting-list lags,2,raw_encoder_feature,18.569609733293863
unreported_removals_lag1__lag_00,unreported_removals_lag1,unreported_removals_lag1,unreported-removal features,0,raw_encoder_feature,17.319426482042672
new_rtt_periods_lag1__lag_02,new_rtt_periods_lag1,new_rtt_periods_lag1,referral or new RTT-period features,2,raw_encoder_feature,17.273634928317993
incomplete_decision_to_admit__lag_00,incomplete_decision_to_admit,incomplete_decision_to_admit,waiting-list lags,0,raw_encoder_feature,17.212530139423897
reported_net_inflow_lag3_missing__lag_01,reported_net_inflow_lag3_missing,reported_net_inflow_lag3_missing,referral or new RTT-period features,1,raw_encoder_feature,16.943179996417577
completed_total_lag3__lag_02,completed_total_lag3,completed_total_lag3,completed-pathway features,2,raw_encoder_feature,16.64815300526722
completed_non_admitted_missing__lag_00,completed_non_admitted_missing,completed_non_admitted_missing,completed-pathway features,0,raw_encoder_feature,16.584619290843488
unreported_removals_lag6__lag_00,unreported_removals_lag6,unreported_removals_lag6,unreported-removal features,0,raw_encoder_feature,16.461935335971795
unreported_removals__lag_02,unreported_removals,unreported_removals,unreported-removal features,2,raw_encoder_feature,16.34117283948034
completed_total_lag3__lag_00,completed_total_lag3,completed_total_lag3,completed-pathway features,0,raw_encoder_feature,16.180070952555123
completed_total_lag3_missing__lag_01,completed_total_lag3_missing,completed_total_lag3_missing,completed-pathway features,1,raw_encoder_feature,15.90720860063488
closing_waiting_list_missing__lag_01,closing_waiting_list_missing,closing_waiting_list_missing,waiting-list lags,1,raw_encoder_feature,15.582177785257251
unreported_removals_lag3_missing__lag_02,unreported_removals_lag3_missing,unreported_removals_lag3_missing,unreported-removal features,2,raw_encoder_feature,15.05794552209443
reported_net_inflow_lag1_missing__lag_00,reported_net_inflow_lag1_missing,reported_net_inflow_lag1_missing,referral or new RTT-period features,0,raw_encoder_feature,14.473267005857073
completed_total_lag6__lag_00,completed_total_lag6,completed_total_lag6,completed-pathway features,0,raw_encoder_feature,13.080858923871872
unreported_removals_lag6__lag_02,unreported_removals_lag6,unreported_removals_lag6,unreported-removal features,2,raw_encoder_feature,13.030513249380466
unreported_removals_lag1__lag_01,unreported_removals_lag1,unreported_removals_lag1,unreported-removal features,1,raw_encoder_feature,12.851436029192886
unreported_removals_lag6_missing__lag_01,unreported_removals_lag6_missing,unreported_removals_lag6_missing,unreported-removal features,1,raw_encoder_feature,12.767031971519572
total_completed_pathways__lag_01,total_completed_pathways,completed_total,completed-pathway features,1,raw_encoder_feature,12.742734574818268
calendar_month_sin__lag_01,calendar_month_sin,month_sin,calendar features,1,raw_encoder_feature,12.611679997412999
reported_net_inflow_lag6_missing__lag_01,reported_net_inflow_lag6_missing,reported_net_inflow_lag6_missing,referral or new RTT-period features,1,raw_encoder_feature,12.601067131737684
incomplete_decision_to_admit__lag_02,incomplete_decision_to_admit,incomplete_decision_to_admit,waiting-list lags,2,raw_encoder_feature,12.118044765528246
new_rtt_periods__lag_01,new_rtt_periods,new_rtt_periods,referral or new RTT-period features,1,raw_encoder_feature,11.915145717215834
reported_net_inflow_lag3__lag_00,reported_net_inflow_lag3,reported_net_inflow_lag3,referral or new RTT-period features,0,raw_encoder_feature,11.690662510390212
waiting_list_imputed__lag_00,waiting_list_imputed,waiting_list_imputed,waiting-list lags,0,raw_encoder_feature,11.64966060250139
waiting_list_with_dta_imputed__lag_01,waiting_list_with_dta_imputed,waiting_list_with_dta_imputed,waiting-list lags,1,raw_encoder_feature,11.633488900758003
time_index__lag_01,time_index,time_idx,calendar features,1,raw_encoder_feature,11.589831121100381
closing_waiting_list__lag_02,closing_waiting_list,closing_waiting_list,waiting-list lags,2,raw_encoder_feature,11.273517517986997
opening_waiting_list__lag_01,opening_waiting_list,opening_waiting_list,waiting-list lags,1,raw_encoder_feature,11.105497734513369
unreported_removals_missing__lag_02,unreported_removals_missing,unreported_removals_missing,unreported-removal features,2,raw_encoder_feature,11.052653737150184
reported_net_inflow_lag3__lag_01,reported_net_inflow_lag3,reported_net_inflow_lag3,referral or new RTT-period features,1,raw_encoder_feature,10.58570307966005
opening_waiting_list_missing__lag_02,opening_waiting_list_missing,opening_waiting_list_missing,waiting-list lags,2,raw_encoder_feature,9.579922079804437
new_rtt_periods_lag3_missing__lag_00,new_rtt_periods_lag3_missing,new_rtt_periods_lag3_missing,referral or new RTT-period features,0,raw_encoder_feature,9.578861690114659
reported_net_inflow_missing__lag_01,reported_net_inflow_missing,reported_net_inflow_missing,referral or new RTT-period features,1,raw_encoder_feature,9.507130550356841
completed_total_lag6_missing__lag_01,completed_total_lag6_missing,completed_total_lag6_missing,completed-pathway features,1,raw_encoder_feature,9.410165113225302
completed_non_admitted_missing__lag_02,completed_non_admitted_missing,completed_non_admitted_missing,completed-pathway features,2,raw_encoder_feature,9.211599329847594
completed_total_lag6__lag_02,completed_total_lag6,completed_total_lag6,completed-pathway features,2,raw_encoder_feature,9.061321965918108
reported_net_inflow_lag6__lag_02,reported_net_inflow_lag6,reported_net_inflow_lag6,referral or new RTT-period features,2,raw_encoder_feature,8.980796214515209
total_completed_pathways__lag_00,total_completed_pathways,completed_total,completed-pathway features,0,raw_encoder_feature,8.921263119567596
reported_net_inflow_missing__lag_00,reported_net_inflow_missing,reported_net_inflow_missing,referral or new RTT-period features,0,raw_encoder_feature,8.532582698100894
new_rtt_periods_lag3__lag_02,new_rtt_periods_lag3,new_rtt_periods_lag3,referral or new RTT-period features,2,raw_encoder_feature,8.39676458140683
reported_net_inflow_lag6_missing__lag_00,reported_net_inflow_lag6_missing,reported_net_inflow_lag6_missing,referral or new RTT-period features,0,raw_encoder_feature,8.34008155255807
waiting_list_imputed__lag_02,waiting_list_imputed,waiting_list_imputed,waiting-list lags,2,raw_encoder_feature,8.20460344965161
completed_total_lag1_missing__lag_02,completed_total_lag1_missing,completed_total_lag1_missing,completed-pathway features,2,raw_encoder_feature,8.189167943564602
unreported_removals_lag3_missing__lag_01,unreported_removals_lag3_missing,unreported_removals_lag3_missing,unreported-removal features,1,raw_encoder_feature,8.014549032824267
unreported_removals_lag3__lag_00,unreported_removals_lag3,unreported_removals_lag3,unreported-removal features,0,raw_encoder_feature,7.91092753995661
new_rtt_periods_lag3_missing__lag_02,new_rtt_periods_lag3_missing,new_rtt_periods_lag3_missing,referral or new RTT-period features,2,raw_encoder_feature,7.898931309726457
unreported_removals_lag3__lag_01,unreported_removals_lag3,unreported_removals_lag3,unreported-removal features,1,raw_encoder_feature,7.847508182165581
completed_total_missing__lag_00,completed_total_missing,completed_total_missing,completed-pathway features,0,raw_encoder_feature,7.844541501008763
incomplete_total__lag_01,incomplete_total,incomplete_total,waiting-list lags,1,raw_encoder_feature,7.833444470752847
reported_net_inflow_lag1_missing__lag_01,reported_net_inflow_lag1_missing,reported_net_inflow_lag1_missing,referral or new RTT-period features,1,raw_encoder_feature,7.814282229990366
unreported_removals_lag3_missing__lag_00,unreported_removals_lag3_missing,unreported_removals_lag3_missing,unreported-removal features,0,raw_encoder_feature,7.774856055391567
reported_net_inflow_lag6__lag_01,reported_net_inflow_lag6,reported_net_inflow_lag6,referral or new RTT-period features,1,raw_encoder_feature,7.749492877399955
reported_net_inflow_lag1__lag_02,reported_net_inflow_lag1,reported_net_inflow_lag1,referral or new RTT-period features,2,raw_encoder_feature,7.737644570058363
reported_net_inflow__lag_00,reported_net_inflow,reported_net_inflow,referral or new RTT-period features,0,raw_encoder_feature,7.663903557839923
new_rtt_periods_lag3__lag_00,new_rtt_periods_lag3,new_rtt_periods_lag3,referral or new RTT-period features,0,raw_encoder_feature,7.65567765882541
completed_total_lag3_missing__lag_02,completed_total_lag3_missing,completed_total_lag3_missing,completed-pathway features,2,raw_encoder_feature,7.575395183652055
unreported_removals_lag6_missing__lag_02,unreported_removals_lag6_missing,unreported_removals_lag6_missing,unreported-removal features,2,raw_encoder_feature,7.546939179840039
new_rtt_periods__lag_02,new_rtt_periods,new_rtt_periods,referral or new RTT-period features,2,raw_encoder_feature,7.53815056819001
unreported_removals_missing__lag_01,unreported_removals_missing,unreported_removals_missing,unreported-removal features,1,raw_encoder_feature,7.272405705971924
new_rtt_periods_lag1__lag_00,new_rtt_periods_lag1,new_rtt_periods_lag1,referral or new RTT-period features,0,raw_encoder_feature,7.219147418322162
