context_id,trust_code,trust_name,specialty_code,specialty_name,horizon,base_value,sum_feature_contributions,base_plus_sum,model_output,approximation_error,absolute_approximation_error
1426,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,1,1007.8980092951282,4822.0933334046,5829.991342699728,5829.991342699727,9.094947017729282e-13,9.094947017729282e-13
1426,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,6,1110.7090322079487,5101.188325722405,6211.897357930354,6211.897357930353,9.094947017729282e-13,9.094947017729282e-13
1426,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,12,1192.9335528948461,5305.8542078765695,6498.787760771415,6498.787760771415,0.0,0.0
1301,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X02,Other - Medical Services,1,1209.8788709300466,27787.21312080044,28997.091991730485,28997.09199173049,-3.637978807091713e-12,3.637978807091713e-12
1301,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X02,Other - Medical Services,6,1375.4189315554597,29657.273646136673,31032.692577692134,31032.692577692134,0.0,0.0
1301,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X02,Other - Medical Services,12,1503.5752941663372,30823.884576624798,32327.459870791135,32327.459870791132,3.637978807091713e-12,3.637978807091713e-12
1509,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,130,Ophthalmology Service,1,1121.9242685452705,17091.254025458886,18213.178294004156,18213.178294004156,0.0,0.0
1509,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,130,Ophthalmology Service,6,1227.0050472380176,17662.155248928495,18889.160296166512,18889.160296166512,0.0,0.0
1509,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,130,Ophthalmology Service,12,1311.9068903671562,18270.029312609593,19581.93620297675,19581.93620297675,0.0,0.0
2606,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,400,Neurology Service,1,1068.4691744743302,16947.741993692463,18016.211168166792,18016.21116816679,3.637978807091713e-12,3.637978807091713e-12
2606,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,400,Neurology Service,6,1177.227060815756,18358.298974283072,19535.52603509883,19535.526035098832,-3.637978807091713e-12,3.637978807091713e-12
2606,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,400,Neurology Service,12,1262.2601848517618,19375.359823500323,20637.620008352085,20637.62000835209,-3.637978807091713e-12,3.637978807091713e-12
1398,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,1,1022.1706137732481,18110.798169564216,19132.968783337463,19132.96878333746,3.637978807091713e-12,3.637978807091713e-12
1398,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,6,1111.1971115492279,19290.78120032239,20401.97831187162,20401.97831187162,0.0,0.0
1398,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,12,1182.226799844862,20342.27326389542,21524.50006374028,21524.500063740277,3.637978807091713e-12,3.637978807091713e-12
1549,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X05,Other - Surgical Services,1,1101.990313223646,12689.72198761309,13791.712300836734,13791.712300836733,1.8189894035458565e-12,1.8189894035458565e-12
1549,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X05,Other - Surgical Services,6,1223.5389940577786,13708.322635522007,14931.861629579786,14931.861629579786,0.0,0.0
1549,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X05,Other - Surgical Services,12,1320.245808018057,14524.089838461747,15844.335646479803,15844.335646479798,5.4569682106375694e-12,5.4569682106375694e-12
1303,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X04,Other - Paediatric Services,1,1138.0705287674346,21719.44179251256,22857.512321279995,22857.51232127999,3.637978807091713e-12,3.637978807091713e-12
1303,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X04,Other - Paediatric Services,6,1269.5981995005475,23410.88644285287,24680.484642353415,24680.484642353415,0.0,0.0
1303,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X04,Other - Paediatric Services,12,1372.524910164552,24568.091845097602,25940.616755262155,25940.616755262152,3.637978807091713e-12,3.637978807091713e-12
1517,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,330,Dermatology Service,1,1208.0481613899638,15703.034180891544,16911.08234228151,16911.082342281512,-3.637978807091713e-12,3.637978807091713e-12
1517,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,330,Dermatology Service,6,1353.24660171303,16929.162357479887,18282.408959192915,18282.408959192915,0.0,0.0
1517,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,330,Dermatology Service,12,1469.2234919776809,17948.83163565008,19418.055127627762,19418.055127627762,0.0,0.0
2594,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,1,1155.6735669500138,14267.04081673255,15422.714383682563,15422.714383682563,0.0,0.0
2594,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,6,1285.6592824993231,15321.723126312827,16607.38240881215,16607.38240881215,0.0,0.0
2594,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,12,1387.6792787833945,16056.190351926081,17443.869630709476,17443.869630709472,3.637978807091713e-12,3.637978807091713e-12
1401,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,1,1054.8510619599715,10986.64870352903,12041.499765489001,12041.499765489005,-3.637978807091713e-12,3.637978807091713e-12
1401,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,6,1161.9948561933427,12146.005357619728,13308.000213813071,13308.000213813071,0.0,0.0
1401,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,12,1247.3071619048305,13053.865409639018,14301.172571543848,14301.172571543846,1.8189894035458565e-12,1.8189894035458565e-12
1540,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,330,Dermatology Service,1,1062.477375365846,11903.713278576026,12966.190653941872,12966.190653941874,-1.8189894035458565e-12,1.8189894035458565e-12
1540,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,330,Dermatology Service,6,1183.5732164113265,12919.908190412849,14103.481406824176,14103.481406824178,-1.8189894035458565e-12,1.8189894035458565e-12
1540,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,330,Dermatology Service,12,1280.441131627836,13811.430079324517,15091.871210952353,15091.871210952353,0.0,0.0
2239,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,X02,Other - Medical Services,1,1131.866376286424,18420.901384455712,19552.767760742136,19552.76776074214,-3.637978807091713e-12,3.637978807091713e-12
