epoch,train_loss,val_loss,learning_rate
1,0.2531950322021595,0.11384576346193041,0.001
2,0.1463757581163522,0.09907518752983638,0.001
3,0.13704301389351997,0.09799401249204363,0.001
4,0.1327521619153526,0.09544727206230164,0.001
5,0.1281464655040751,0.09596386232546397,0.001
6,0.12475252705859635,0.09153350016900472,0.001
7,0.12199466134910533,0.09743572558675494,0.001
8,0.11966070690066959,0.09199367782899312,0.001
9,0.11733510024786624,0.09354795621974128,0.0005
10,0.1140528628135734,0.09693676659039088,0.0005
11,0.11247126779722978,0.10156150375093732,0.0005
12,0.11071341268541315,0.10010969425950732,0.00025
13,0.10880314629515117,0.09710852269615446,0.00025
