change_type,trust_code,trust_name,specialty_code,specialty_name,first_month,last_month,distinct_values,details
trust_name_changes_for_code,ADP02,KIMS HOSPITAL (NEWNHAM COURT);KIMS HOSPITAL LTD,,,2015-10-01,2026-05-01,2,Same Trust code appears with multiple Trust names. No automatic organisation merge applied.
trust_name_changes_for_code,NDL01,NORTH EAST ESSEX DIABETES SERVICE;SUFFOLK GP FEDERATION;SUFFOLK GP FEDERATION - WOODBRIDGE,,,2015-10-01,2026-03-01,3,Same Trust code appears with multiple Trust names. No automatic organisation merge applied.
trust_name_changes_for_code,NNE,DORKING HEALTHCARE LIMITED;DORKING HEALTHCARE LIMITED (DHC),,,2015-10-01,2026-05-01,2,Same Trust code appears with multiple Trust names. No automatic organisation merge applied.
trust_name_changes_for_code,NT314,SPIRE LONDON EAST;SPIRE RODING HOSPITAL,,,2015-10-01,2026-05-01,2,Same Trust code appears with multiple Trust names. No automatic organisation merge applied.
trust_name_changes_for_code,NT401,ALEXANDRA HOSPITAL;BMI - THE ALEXANDRA HOSPITAL,,,2015-10-01,2026-05-01,2,Same Trust code appears with multiple Trust names. No automatic organisation merge applied.
trust_name_changes_for_code,NT402,BATH CLINIC;BMI - BATH CLINIC,,,2015-10-01,2026-05-01,2,Same Trust code appears with multiple Trust names. No automatic organisation merge applied.
trust_name_changes_for_code,NT403,BEARDWOOD HOSPITAL;BMI - THE BEARDWOOD HOSPITAL,,,2015-10-01,2026-05-01,2,Same Trust code appears with multiple Trust names. No automatic organisation merge applied.
trust_name_changes_for_code,NT404,BEAUMONT HOSPITAL;BMI - THE BEAUMONT HOSPITAL,,,2015-10-01,2026-05-01,2,Same Trust code appears with multiple Trust names. No automatic organisation merge applied.
trust_name_changes_for_code,NT405,BISHOPS WOOD;BISHOPS WOOD HOSPITAL;BMI - BISHOPS WOOD,,,2015-10-01,2026-05-01,3,Same Trust code appears with multiple Trust names. No automatic organisation merge applied.
trust_name_changes_for_code,NT406,BLACKHEATH HOSPITAL;BMI - THE BLACKHEATH HOSPITAL,,,2015-10-01,2026-05-01,2,Same Trust code appears with multiple Trust names. No automatic organisation merge applied.
trust_name_changes_for_code,NT408,BMI - THE CHAUCER HOSPITAL;CHAUCER HOSPITAL,,,2015-10-01,2026-05-01,2,Same Trust code appears with multiple Trust names. No automatic organisation merge applied.
trust_name_changes_for_code,NT409,BMI - CHELSFIELD PARK HOSPITAL;CHELSFIELD PARK HOSPITAL,,,2015-10-01,2026-05-01,2,Same Trust code appears with multiple Trust names. No automatic organisation merge applied.
trust_name_changes_for_code,NT410,BMI - THE CHILTERN HOSPITAL;CHILTERN HOSPITAL,,,2015-10-01,2026-05-01,2,Same Trust code appears with multiple Trust names. No automatic organisation merge applied.
trust_name_changes_for_code,NT411,BMI - THE CLEMENTINE CHURCHILL HOSPITAL;CLEMENTINE CHURCHILL HOSPITAL,,,2015-10-01,2026-05-01,2,Same Trust code appears with multiple Trust names. No automatic organisation merge applied.
